spectral_rolloff,spectral_bandwidth,peak_count,mid_ratio,low_to_high_ratio,second_peak_freq,kurtosis,centroid,peak_freq,low_ratio,rms,avg_energy,peak_energy,energy_variance,peak_to_avg_e,high_ratio,peak1_to_peak2_ratio,skewness,dc_ratio,delta_peak_freq,spectral_flatness,label
31.25,13.244122505187988,7.0,0.19333069026470184,0.29125186800956726,6.640625,10.836406707763672,17.36541748046875,1.171875,0.18195050954818726,0.007501118816435337,59.0,442.0,6179.689453125,7.491525650024414,0.6247187852859497,1.1362468004226685,2.686098575592041,0.0011909487657248974,-18.75,0.5131468176841736,0.0
29.6875,12.641550064086914,5.0,0.14742901921272278,0.37325161695480347,19.921875,18.777868270874023,16.639732360839844,1.171875,0.2317299246788025,0.008734640665352345,80.0,820.0,13241.1337890625,10.25,0.6208410859107971,1.3827992677688599,3.5174548625946045,0.0015611279523000121,0.0,0.4867769777774811,0.0
29.6875,12.641550064086914,5.0,0.14742901921272278,0.37325161695480347,19.921875,18.777868270874023,16.639732360839844,1.171875,0.2317299246788025,0.008734640665352345,80.0,820.0,13241.1337890625,10.25,0.6208410859107971,1.3827992677688599,3.5174548625946045,0.0015611279523000121,0.0,0.4867769777774811,0.0
29.6875,12.641550064086914,5.0,0.14742901921272278,0.37325161695480347,19.921875,18.777868270874023,16.639732360839844,1.171875,0.2317299246788025,0.008734640665352345,80.0,820.0,13241.1337890625,10.25,0.6208410859107971,1.3827992677688599,3.5174548625946045,0.0015611279523000121,0.0,0.4867769777774811,0.0
35.15625,13.443412780761719,5.0,0.13219258189201355,0.32488155364990234,1.171875,14.588401794433594,18.266780853271484,19.921875,0.21279986202716827,0.009417627938091755,93.0,740.0,14060.77734375,7.956989288330078,0.655007541179657,1.0882352590560913,3.0938711166381836,0.0007549069123342633,18.75,0.5378031134605408,0.0
35.15625,13.443412780761719,5.0,0.13219258189201355,0.32488155364990234,1.171875,14.588401794433594,18.266780853271484,19.921875,0.21279986202716827,0.009417627938091755,93.0,740.0,14060.77734375,7.956989288330078,0.655007541179657,1.0882352590560913,3.0938711166381836,0.0007549069123342633,18.75,0.5378031134605408,0.0
35.15625,13.443412780761719,5.0,0.13219258189201355,0.32488155364990234,1.171875,14.588401794433594,18.266780853271484,19.921875,0.21279986202716827,0.009417627938091755,93.0,740.0,14060.77734375,7.956989288330078,0.655007541179657,1.0882352590560913,3.0938711166381836,0.0007549069123342633,18.75,0.5378031134605408,0.0
35.15625,13.443412780761719,5.0,0.13219258189201355,0.32488155364990234,1.171875,14.588401794433594,18.266780853271484,19.921875,0.21279986202716827,0.009417627938091755,93.0,740.0,14060.77734375,7.956989288330078,0.655007541179657,1.0882352590560913,3.0938711166381836,0.0007549069123342633,18.75,0.5378031134605408,0.0
35.15625,13.302719116210938,3.0,0.15828512609004974,0.29207146167755127,6.640625,14.542503356933594,18.081405639648438,19.921875,0.19026879966259003,0.010426834225654602,114.0,916.0,18972.55859375,8.035087585449219,0.6514460444450378,1.2634482383728027,2.923126697540283,0.0033344675321131945,0.0,0.5528581738471985,0.0
35.15625,13.302719116210938,3.0,0.15828512609004974,0.29207146167755127,6.640625,14.542503356933594,18.081405639648438,19.921875,0.19026879966259003,0.010426834225654602,114.0,916.0,18972.55859375,8.035087585449219,0.6514460444450378,1.2634482383728027,2.923126697540283,0.0033344675321131945,0.0,0.5528581738471985,0.0
35.15625,13.302719116210938,3.0,0.15828512609004974,0.29207146167755127,6.640625,14.542503356933594,18.081405639648438,19.921875,0.19026879966259003,0.010426834225654602,114.0,916.0,18972.55859375,8.035087585449219,0.6514460444450378,1.2634482383728027,2.923126697540283,0.0033344675321131945,0.0,0.5528581738471985,0.0
35.15625,13.391092300415039,4.0,0.11100250482559204,0.3311379551887512,0.390625,19.21720314025879,18.204952239990234,19.921875,0.2211497277021408,0.011005300097167492,127.0,1229.0,28149.65234375,9.677165031433105,0.667847752571106,1.4458823204040527,3.473818063735962,0.0005498197861015797,0.0,0.5237271189689636,0.0
35.15625,13.391092300415039,4.0,0.11100250482559204,0.3311379551887512,0.390625,19.21720314025879,18.204952239990234,19.921875,0.2211497277021408,0.011005300097167492,127.0,1229.0,28149.65234375,9.677165031433105,0.667847752571106,1.4458823204040527,3.473818063735962,0.0005498197861015797,0.0,0.5237271189689636,0.0
35.15625,13.391092300415039,4.0,0.11100250482559204,0.3311379551887512,0.390625,19.21720314025879,18.204952239990234,19.921875,0.2211497277021408,0.011005300097167492,127.0,1229.0,28149.65234375,9.677165031433105,0.667847752571106,1.4458823204040527,3.473818063735962,0.0005498197861015797,0.0,0.5237271189689636,0.0
35.15625,13.391092300415039,4.0,0.11100250482559204,0.3311379551887512,0.390625,19.21720314025879,18.204952239990234,19.921875,0.2211497277021408,0.011005300097167492,127.0,1229.0,28149.65234375,9.677165031433105,0.667847752571106,1.4458823204040527,3.473818063735962,0.0005498197861015797,0.0,0.5237271189689636,0.0
35.546875,13.474960327148438,4.0,0.11035413295030594,0.32117971777915955,0.390625,23.25076675415039,18.31395721435547,19.921875,0.21627354621887207,0.0107421875,121.0,1296.0,27892.12890625,10.71074390411377,0.6733723282814026,1.541022539138794,3.8517231941223145,6.427148036891595e-05,0.0,0.5316991806030273,0.0
