[MLP]   svm_data_20260507_133636.csv                       24741샘플
[MLP] CSV 로드  →  총 24741샘플
[MLP] 로드 완료 | 전체: 24741개  (배경: 12371, 사람: 12370)
[MLP] 특징 모드: ESP32 (14개)
[MLP] 학습: 19792개 (80%)  검증: 4949개 (20%)  [비율고정: 유지 | 분리시드: 42]
[MLP] 스케일러: StandardScaler (z-score)
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
[MLP]  디바이스: cpu
[MLP]  구조: 14 → 64 → 32 → 2
[MLP]  에폭: 1000  배치: 128  LR: 2.00e-03  Dropout: 0.2
[MLP]  Early Stop: 비활성화
[MLP]  LR 스케줄러: patience=50  factor=0.5  min_lr=1e-6
[MLP]  검증 비율: 20%  분리 비율고정: 유지  분리 시드: 42
[MLP]  스케일러: StandardScaler  특징 모드: ESP32
[MLP]  사용 특징 (14개): SPECTRAL_BANDWIDTH, PEAK_COUNT, MID_RATIO, SECOND_PEAK_FREQ, KURTOSIS, CENTROID, PEAK_FREQ, LOW_RATIO, RMS, PEAK_TO_AVG_E, HIGH_RATIO, PEAK1_TO_PEAK2_RATIO, SKEWNESS, SPECTRAL_FLATNESS
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  에폭   1/1000 | 손실: 0.5985 | 학습: 66.8% | 검증: 65.5% | lr: 2.00e-03 | 0.3s ★
  에폭   2/1000 | 손실: 0.5851 | 학습: 67.3% | 검증: 66.1% | lr: 2.00e-03 | 0.3s ★
  에폭   3/1000 | 손실: 0.5787 | 학습: 68.5% | 검증: 67.1% | lr: 2.00e-03 | 0.3s ★
  에폭   4/1000 | 손실: 0.5740 | 학습: 69.1% | 검증: 67.0% | lr: 2.00e-03 | 0.3s
  에폭   5/1000 | 손실: 0.5693 | 학습: 68.8% | 검증: 66.7% | lr: 2.00e-03 | 0.3s
  에폭   6/1000 | 손실: 0.5666 | 학습: 70.2% | 검증: 67.9% | lr: 2.00e-03 | 0.4s ★
  에폭   7/1000 | 손실: 0.5625 | 학습: 70.1% | 검증: 67.7% | lr: 2.00e-03 | 0.4s
  에폭   8/1000 | 손실: 0.5617 | 학습: 70.0% | 검증: 67.5% | lr: 2.00e-03 | 0.4s
  에폭   9/1000 | 손실: 0.5597 | 학습: 70.3% | 검증: 67.9% | lr: 2.00e-03 | 0.4s ★
  에폭  10/1000 | 손실: 0.5556 | 학습: 71.1% | 검증: 68.0% | lr: 2.00e-03 | 0.3s ★
  에폭  11/1000 | 손실: 0.5527 | 학습: 71.2% | 검증: 68.2% | lr: 2.00e-03 | 0.4s ★
  에폭  12/1000 | 손실: 0.5529 | 학습: 71.6% | 검증: 68.9% | lr: 2.00e-03 | 0.4s ★
  에폭  13/1000 | 손실: 0.5510 | 학습: 71.7% | 검증: 69.3% | lr: 2.00e-03 | 0.4s ★
  에폭  14/1000 | 손실: 0.5494 | 학습: 71.9% | 검증: 69.7% | lr: 2.00e-03 | 0.3s ★
  에폭  15/1000 | 손실: 0.5468 | 학습: 71.8% | 검증: 68.9% | lr: 2.00e-03 | 0.3s
  에폭  16/1000 | 손실: 0.5455 | 학습: 72.7% | 검증: 69.8% | lr: 2.00e-03 | 0.3s ★
  에폭  17/1000 | 손실: 0.5442 | 학습: 72.4% | 검증: 69.6% | lr: 2.00e-03 | 0.4s
  에폭  18/1000 | 손실: 0.5416 | 학습: 73.2% | 검증: 69.7% | lr: 2.00e-03 | 0.3s
  에폭  19/1000 | 손실: 0.5396 | 학습: 73.2% | 검증: 69.8% | lr: 2.00e-03 | 0.3s ★
  에폭  20/1000 | 손실: 0.5363 | 학습: 73.1% | 검증: 70.4% | lr: 2.00e-03 | 0.4s ★
  에폭  21/1000 | 손실: 0.5349 | 학습: 73.9% | 검증: 70.2% | lr: 2.00e-03 | 0.3s
  에폭  22/1000 | 손실: 0.5331 | 학습: 73.5% | 검증: 70.9% | lr: 2.00e-03 | 0.3s ★
  에폭  23/1000 | 손실: 0.5310 | 학습: 74.3% | 검증: 71.3% | lr: 2.00e-03 | 0.3s ★
  에폭  24/1000 | 손실: 0.5311 | 학습: 73.8% | 검증: 71.1% | lr: 2.00e-03 | 0.3s
  에폭  25/1000 | 손실: 0.5315 | 학습: 74.1% | 검증: 71.4% | lr: 2.00e-03 | 0.3s ★
  에폭  26/1000 | 손실: 0.5301 | 학습: 74.1% | 검증: 71.7% | lr: 2.00e-03 | 0.3s ★
  에폭  27/1000 | 손실: 0.5262 | 학습: 74.6% | 검증: 72.0% | lr: 2.00e-03 | 0.3s ★
  에폭  28/1000 | 손실: 0.5255 | 학습: 74.9% | 검증: 71.7% | lr: 2.00e-03 | 0.3s
  에폭  29/1000 | 손실: 0.5274 | 학습: 74.8% | 검증: 71.6% | lr: 2.00e-03 | 0.3s
  에폭  30/1000 | 손실: 0.5247 | 학습: 74.5% | 검증: 71.5% | lr: 2.00e-03 | 0.3s
  에폭  31/1000 | 손실: 0.5246 | 학습: 74.9% | 검증: 72.5% | lr: 2.00e-03 | 0.3s ★
  에폭  32/1000 | 손실: 0.5206 | 학습: 75.2% | 검증: 71.9% | lr: 2.00e-03 | 0.4s
  에폭  33/1000 | 손실: 0.5226 | 학습: 75.2% | 검증: 72.3% | lr: 2.00e-03 | 0.3s
  에폭  34/1000 | 손실: 0.5208 | 학습: 75.2% | 검증: 72.0% | lr: 2.00e-03 | 0.3s
  에폭  35/1000 | 손실: 0.5210 | 학습: 74.8% | 검증: 72.4% | lr: 2.00e-03 | 0.3s
  에폭  36/1000 | 손실: 0.5166 | 학습: 75.5% | 검증: 72.9% | lr: 2.00e-03 | 0.3s ★
  에폭  37/1000 | 손실: 0.5170 | 학습: 75.4% | 검증: 72.5% | lr: 2.00e-03 | 0.3s
  에폭  38/1000 | 손실: 0.5144 | 학습: 75.4% | 검증: 72.9% | lr: 2.00e-03 | 0.3s
  에폭  39/1000 | 손실: 0.5167 | 학습: 75.9% | 검증: 73.5% | lr: 2.00e-03 | 0.3s ★
  에폭  40/1000 | 손실: 0.5129 | 학습: 75.5% | 검증: 73.8% | lr: 2.00e-03 | 0.3s ★
  에폭  41/1000 | 손실: 0.5143 | 학습: 76.1% | 검증: 73.6% | lr: 2.00e-03 | 0.3s
  에폭  42/1000 | 손실: 0.5124 | 학습: 75.8% | 검증: 73.3% | lr: 2.00e-03 | 0.3s
  에폭  43/1000 | 손실: 0.5154 | 학습: 76.3% | 검증: 73.7% | lr: 2.00e-03 | 0.3s
  에폭  44/1000 | 손실: 0.5119 | 학습: 76.3% | 검증: 73.6% | lr: 2.00e-03 | 0.3s
  에폭  45/1000 | 손실: 0.5112 | 학습: 75.8% | 검증: 73.0% | lr: 2.00e-03 | 0.3s
  에폭  46/1000 | 손실: 0.5113 | 학습: 76.1% | 검증: 73.6% | lr: 2.00e-03 | 0.3s
  에폭  47/1000 | 손실: 0.5114 | 학습: 76.2% | 검증: 73.3% | lr: 2.00e-03 | 0.3s
  에폭  48/1000 | 손실: 0.5101 | 학습: 76.2% | 검증: 73.7% | lr: 2.00e-03 | 0.3s
  에폭  49/1000 | 손실: 0.5104 | 학습: 76.0% | 검증: 73.8% | lr: 2.00e-03 | 0.3s
  에폭  50/1000 | 손실: 0.5128 | 학습: 76.5% | 검증: 73.9% | lr: 2.00e-03 | 0.3s ★
  에폭  51/1000 | 손실: 0.5061 | 학습: 76.6% | 검증: 73.7% | lr: 2.00e-03 | 0.3s
  에폭  52/1000 | 손실: 0.5054 | 학습: 76.5% | 검증: 73.5% | lr: 2.00e-03 | 0.3s
  에폭  53/1000 | 손실: 0.5084 | 학습: 76.8% | 검증: 74.0% | lr: 2.00e-03 | 0.3s ★
  에폭  54/1000 | 손실: 0.5042 | 학습: 76.5% | 검증: 73.7% | lr: 2.00e-03 | 0.4s
  에폭  55/1000 | 손실: 0.5056 | 학습: 76.4% | 검증: 73.6% | lr: 2.00e-03 | 0.3s
  에폭  56/1000 | 손실: 0.5036 | 학습: 77.0% | 검증: 74.1% | lr: 2.00e-03 | 0.3s ★
  에폭  57/1000 | 손실: 0.5068 | 학습: 76.5% | 검증: 73.3% | lr: 2.00e-03 | 0.3s
  에폭  58/1000 | 손실: 0.5050 | 학습: 76.5% | 검증: 74.0% | lr: 2.00e-03 | 0.3s
  에폭  59/1000 | 손실: 0.5038 | 학습: 77.2% | 검증: 74.2% | lr: 2.00e-03 | 0.3s ★
  에폭  60/1000 | 손실: 0.5033 | 학습: 77.0% | 검증: 73.8% | lr: 2.00e-03 | 0.3s
  에폭  61/1000 | 손실: 0.5021 | 학습: 77.0% | 검증: 73.8% | lr: 2.00e-03 | 0.3s
  에폭  62/1000 | 손실: 0.5005 | 학습: 77.0% | 검증: 74.3% | lr: 2.00e-03 | 0.3s ★
  에폭  63/1000 | 손실: 0.5004 | 학습: 77.2% | 검증: 74.5% | lr: 2.00e-03 | 0.3s ★
