[MLP]   svm_data_20260428_164908_W256_S32_I1.csv            529샘플
[MLP]   svm_data_20260428_171251_W256_S32_I1.csv             10샘플
[MLP]   svm_data_20260428_171310_W256_S32_I1.csv            964샘플
[MLP]   svm_data_20260429_104801_W256_S32_I1.csv            170샘플
[MLP]   svm_data_20260429_112044_W256_S1_I1.csv             287샘플
[MLP]   svm_data_20260429_121425.csv                          1샘플
[MLP] CSV 6개 병합  →  총 1961샘플
[MLP] 로드 완료 | 전체: 1961개  (배경: 997, 사람: 964)
[MLP] 학습: 1568개 (80%)  검증: 393개 (20%)  [비율고정: 유지 | 분리시드: 42]
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
[MLP]  구조: 21 → 128 → 64 → 32 → 2
[MLP]  에폭: 500  배치: 32  LR: 5e-04  Dropout: 0.3  Early Stop: 비활성화
[MLP]  사용 특징 (21개): SPECTRAL_ROLLOFF, SPECTRAL_BANDWIDTH, PEAK_COUNT, MID_RATIO, LOW_TO_HIGH_RATIO, SECOND_PEAK_FREQ, KURTOSIS, CENTROID, PEAK_FREQ, LOW_RATIO, RMS, AVG_ENERGY, PEAK_ENERGY, ENERGY_VARIANCE, PEAK_TO_AVG_E, HIGH_RATIO, PEAK1_TO_PEAK2_RATIO, SKEWNESS, DC_RATIO, DELTA_PEAK_FREQ, SPECTRAL_FLATNESS
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  에폭   1/500 | 손실: 0.6270 | 학습: 69.1% | 검증: 71.2% | lr: 5.00e-04 ★
  에폭   2/500 | 손실: 0.5316 | 학습: 69.7% | 검증: 71.5% | lr: 5.00e-04 ★
  에폭   3/500 | 손실: 0.5022 | 학습: 71.5% | 검증: 74.8% | lr: 5.00e-04 ★
  에폭   4/500 | 손실: 0.4932 | 학습: 72.3% | 검증: 74.0% | lr: 5.00e-04
  에폭   5/500 | 손실: 0.4962 | 학습: 73.7% | 검증: 73.8% | lr: 5.00e-04
  에폭   6/500 | 손실: 0.4857 | 학습: 74.6% | 검증: 74.6% | lr: 5.00e-04
  에폭   7/500 | 손실: 0.4802 | 학습: 76.1% | 검증: 74.8% | lr: 5.00e-04
  에폭   8/500 | 손실: 0.4751 | 학습: 76.5% | 검증: 76.6% | lr: 5.00e-04 ★
  에폭   9/500 | 손실: 0.4749 | 학습: 76.8% | 검증: 75.6% | lr: 5.00e-04
  에폭  10/500 | 손실: 0.4771 | 학습: 76.5% | 검증: 76.6% | lr: 5.00e-04
  에폭  11/500 | 손실: 0.4768 | 학습: 76.6% | 검증: 75.1% | lr: 5.00e-04
  에폭  12/500 | 손실: 0.4608 | 학습: 77.2% | 검증: 75.6% | lr: 5.00e-04
  에폭  13/500 | 손실: 0.4677 | 학습: 77.5% | 검증: 76.1% | lr: 5.00e-04
  에폭  14/500 | 손실: 0.4617 | 학습: 77.2% | 검증: 75.8% | lr: 5.00e-04
  에폭  15/500 | 손실: 0.4647 | 학습: 77.8% | 검증: 76.8% | lr: 5.00e-04 ★
  에폭  16/500 | 손실: 0.4645 | 학습: 77.9% | 검증: 76.6% | lr: 5.00e-04
  에폭  17/500 | 손실: 0.4617 | 학습: 78.8% | 검증: 78.4% | lr: 5.00e-04 ★
  에폭  18/500 | 손실: 0.4452 | 학습: 77.2% | 검증: 77.1% | lr: 5.00e-04
  에폭  19/500 | 손실: 0.4458 | 학습: 77.5% | 검증: 76.3% | lr: 5.00e-04
  에폭  20/500 | 손실: 0.4393 | 학습: 78.3% | 검증: 77.4% | lr: 5.00e-04
  에폭  21/500 | 손실: 0.4438 | 학습: 79.0% | 검증: 78.6% | lr: 5.00e-04 ★
  에폭  22/500 | 손실: 0.4453 | 학습: 78.6% | 검증: 77.9% | lr: 5.00e-04
  에폭  23/500 | 손실: 0.4507 | 학습: 78.4% | 검증: 75.6% | lr: 5.00e-04
  에폭  24/500 | 손실: 0.4544 | 학습: 78.3% | 검증: 76.6% | lr: 5.00e-04
  에폭  25/500 | 손실: 0.4423 | 학습: 78.2% | 검증: 76.1% | lr: 5.00e-04
  에폭  26/500 | 손실: 0.4453 | 학습: 78.3% | 검증: 74.6% | lr: 5.00e-04
  에폭  27/500 | 손실: 0.4398 | 학습: 78.6% | 검증: 76.1% | lr: 5.00e-04
  에폭  28/500 | 손실: 0.4397 | 학습: 78.6% | 검증: 75.3% | lr: 5.00e-04
  에폭  29/500 | 손실: 0.4456 | 학습: 79.0% | 검증: 77.9% | lr: 5.00e-04
  에폭  30/500 | 손실: 0.4325 | 학습: 79.5% | 검증: 76.6% | lr: 5.00e-04
  에폭  31/500 | 손실: 0.4340 | 학습: 79.8% | 검증: 78.1% | lr: 5.00e-04
  에폭  32/500 | 손실: 0.4256 | 학습: 79.0% | 검증: 76.1% | lr: 5.00e-04
  에폭  33/500 | 손실: 0.4388 | 학습: 79.2% | 검증: 75.6% | lr: 5.00e-04
  에폭  34/500 | 손실: 0.4375 | 학습: 79.7% | 검증: 77.4% | lr: 5.00e-04
  에폭  35/500 | 손실: 0.4295 | 학습: 79.3% | 검증: 76.8% | lr: 5.00e-04
  에폭  36/500 | 손실: 0.4347 | 학습: 79.8% | 검증: 77.1% | lr: 5.00e-04
  에폭  37/500 | 손실: 0.4310 | 학습: 80.3% | 검증: 77.4% | lr: 5.00e-04
  에폭  38/500 | 손실: 0.4372 | 학습: 80.9% | 검증: 78.4% | lr: 5.00e-04
  에폭  39/500 | 손실: 0.4298 | 학습: 79.8% | 검증: 77.9% | lr: 5.00e-04
  에폭  40/500 | 손실: 0.4268 | 학습: 80.7% | 검증: 77.9% | lr: 5.00e-04
  에폭  41/500 | 손실: 0.4266 | 학습: 80.9% | 검증: 77.1% | lr: 5.00e-04
  에폭  42/500 | 손실: 0.4280 | 학습: 81.1% | 검증: 77.6% | lr: 5.00e-04
  에폭  43/500 | 손실: 0.4325 | 학습: 81.6% | 검증: 78.4% | lr: 2.50e-04
  에폭  44/500 | 손실: 0.4242 | 학습: 80.8% | 검증: 78.1% | lr: 2.50e-04
