[MLP]   svm_data_20260507_133636.csv                       24741샘플
[MLP] CSV 로드  →  총 24741샘플
[MLP] 로드 완료 | 전체: 24741개  (배경: 12371, 사람: 12370)data_parser.py | settings_parser() | SettingData_handle.b_pir_status: False
[MLP] 특징 모드: ESP32 (21개)
[MLP] 학습: 19792개 (80%)  검증: 4949개 (20%)  [비율고정: 유지 | 분리시드: 42]
[MLP] 스케일러: StandardScaler (z-score)
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
[MLP]  디바이스: cuda (NVIDIA GeForce GTX 1660 SUPER)
[MLP]  구조: 21 → 64 → 32 → 2
[MLP]  에폭: 300  배치: 8  LR: 1e-03  Dropout: 0.3  Early Stop: 비활성화
[MLP]  사용 특징 (21개): SPECTRAL_ROLLOFF, SPECTRAL_BANDWIDTH, PEAK_COUNT, MID_RATIO, LOW_TO_HIGH_RATIO, SECOND_PEAK_FREQ, KURTOSIS, CENTROID, PEAK_FREQ, LOW_RATIO, RMS, AVG_ENERGY, PEAK_ENERGY, ENERGY_VARIANCE, PEAK_TO_AVG_E, HIGH_RATIO, PEAK1_TO_PEAK2_RATIO, SKEWNESS, DC_RATIO, DELTA_PEAK_FREQ, SPECTRAL_FLATNESS
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  에폭  48/300 | 손실: 0.5734 | 학습: 69.9% | 검증: 69.1% | lr: 1.00e-03 ★
  에폭  49/300 | 손실: 0.5709 | 학습: 69.3% | 검증: 68.4% | lr: 1.00e-03
  에폭  50/300 | 손실: 0.5774 | 학습: 69.5% | 검증: 67.8% | lr: 1.00e-03
  에폭  51/300 | 손실: 0.5738 | 학습: 69.4% | 검증: 67.5% | lr: 1.00e-03
  에폭  52/300 | 손실: 0.5743 | 학습: 69.0% | 검증: 67.5% | lr: 1.00e-03
  에폭  53/300 | 손실: 0.5714 | 학습: 70.3% | 검증: 68.5% | lr: 1.00e-03
  에폭  54/300 | 손실: 0.5727 | 학습: 69.8% | 검증: 67.1% | lr: 1.00e-03
  에폭  55/300 | 손실: 0.5706 | 학습: 69.8% | 검증: 67.7% | lr: 1.00e-03
  에폭  56/300 | 손실: 0.5707 | 학습: 69.4% | 검증: 68.0% | lr: 1.00e-03
  에폭  57/300 | 손실: 0.5694 | 학습: 70.6% | 검증: 68.6% | lr: 1.00e-03
  에폭  58/300 | 손실: 0.5705 | 학습: 70.7% | 검증: 69.3% | lr: 1.00e-03 ★
  에폭  59/300 | 손실: 0.5706 | 학습: 69.6% | 검증: 68.0% | lr: 1.00e-03
  에폭  60/300 | 손실: 0.5709 | 학습: 70.7% | 검증: 69.2% | lr: 1.00e-03
  에폭  61/300 | 손실: 0.5713 | 학습: 70.1% | 검증: 68.3% | lr: 1.00e-03
  에폭  62/300 | 손실: 0.5716 | 학습: 70.2% | 검증: 68.0% | lr: 1.00e-03
  에폭  63/300 | 손실: 0.5698 | 학습: 69.7% | 검증: 67.9% | lr: 1.00e-03
  에폭  64/300 | 손실: 0.5703 | 학습: 70.3% | 검증: 67.9% | lr: 1.00e-03
  에폭  65/300 | 손실: 0.5695 | 학습: 71.5% | 검증: 69.0% | lr: 1.00e-03
  에폭  66/300 | 손실: 0.5694 | 학습: 70.6% | 검증: 68.9% | lr: 1.00e-03
  에폭  67/300 | 손실: 0.5707 | 학습: 70.3% | 검증: 68.1% | lr: 1.00e-03
  에폭  68/300 | 손실: 0.5689 | 학습: 70.3% | 검증: 68.2% | lr: 1.00e-03
  에폭  69/300 | 손실: 0.5693 | 학습: 71.6% | 검증: 69.4% | lr: 1.00e-03 ★
  에폭  70/300 | 손실: 0.5679 | 학습: 70.8% | 검증: 68.9% | lr: 1.00e-03
  에폭  71/300 | 손실: 0.5687 | 학습: 70.9% | 검증: 68.3% | lr: 1.00e-03
  에폭  72/300 | 손실: 0.5699 | 학습: 70.1% | 검증: 67.9% | lr: 1.00e-03
  에폭  73/300 | 손실: 0.5698 | 학습: 70.9% | 검증: 68.6% | lr: 1.00e-03
  에폭  74/300 | 손실: 0.5693 | 학습: 70.8% | 검증: 68.7% | lr: 1.00e-03
  에폭  75/300 | 손실: 0.5663 | 학습: 71.2% | 검증: 68.7% | lr: 1.00e-03
  에폭  76/300 | 손실: 0.5701 | 학습: 71.0% | 검증: 69.8% | lr: 1.00e-03 ★
  에폭  77/300 | 손실: 0.5678 | 학습: 70.3% | 검증: 68.5% | lr: 1.00e-03
  에폭  78/300 | 손실: 0.5687 | 학습: 70.9% | 검증: 69.9% | lr: 1.00e-03 ★
  에폭  79/300 | 손실: 0.5666 | 학습: 70.3% | 검증: 69.1% | lr: 1.00e-03
  에폭  80/300 | 손실: 0.5700 | 학습: 69.5% | 검증: 67.9% | lr: 1.00e-03
  에폭  81/300 | 손실: 0.5695 | 학습: 69.9% | 검증: 67.9% | lr: 1.00e-03
  에폭  82/300 | 손실: 0.5658 | 학습: 69.9% | 검증: 67.9% | lr: 1.00e-03
  에폭  83/300 | 손실: 0.5661 | 학습: 70.6% | 검증: 69.1% | lr: 1.00e-03
  에폭  84/300 | 손실: 0.5663 | 학습: 70.5% | 검증: 68.8% | lr: 1.00e-03
  에폭  85/300 | 손실: 0.5680 | 학습: 71.3% | 검증: 69.0% | lr: 1.00e-03
  에폭  86/300 | 손실: 0.5640 | 학습: 71.4% | 검증: 69.5% | lr: 1.00e-03
  에폭  87/300 | 손실: 0.5660 | 학습: 71.2% | 검증: 68.9% | lr: 1.00e-03
  에폭  88/300 | 손실: 0.5651 | 학습: 71.1% | 검증: 68.9% | lr: 1.00e-03
  에폭  89/300 | 손실: 0.5666 | 학습: 69.9% | 검증: 68.1% | lr: 1.00e-03
  에폭  90/300 | 손실: 0.5651 | 학습: 71.0% | 검증: 68.8% | lr: 1.00e-03
  에폭  91/300 | 손실: 0.5667 | 학습: 71.3% | 검증: 69.5% | lr: 1.00e-03
  에폭  92/300 | 손실: 0.5670 | 학습: 70.7% | 검증: 68.3% | lr: 1.00e-03
  에폭  93/300 | 손실: 0.5673 | 학습: 69.4% | 검증: 67.7% | lr: 1.00e-03
  에폭  94/300 | 손실: 0.5653 | 학습: 71.1% | 검증: 69.4% | lr: 1.00e-03
  에폭  95/300 | 손실: 0.5643 | 학습: 72.1% | 검증: 70.1% | lr: 1.00e-03 ★
  에폭  96/300 | 손실: 0.5676 | 학습: 71.5% | 검증: 69.3% | lr: 1.00e-03
  에폭  97/300 | 손실: 0.5667 | 학습: 71.9% | 검증: 70.1% | lr: 5.00e-04
  에폭  98/300 | 손실: 0.5634 | 학습: 71.5% | 검증: 69.5% | lr: 5.00e-04
  에폭  99/300 | 손실: 0.5628 | 학습: 72.6% | 검증: 70.1% | lr: 5.00e-04
  에폭 100/300 | 손실: 0.5591 | 학습: 71.4% | 검증: 68.9% | lr: 5.00e-04
  에폭 101/300 | 손실: 0.5593 | 학습: 72.3% | 검증: 70.6% | lr: 5.00e-04 ★
  에폭 102/300 | 손실: 0.5598 | 학습: 71.4% | 검증: 69.2% | lr: 5.00e-04
  에폭 103/300 | 손실: 0.5574 | 학습: 72.6% | 검증: 70.8% | lr: 5.00e-04 ★
  에폭 104/300 | 손실: 0.5575 | 학습: 72.4% | 검증: 70.6% | lr: 5.00e-04
  에폭 105/300 | 손실: 0.5596 | 학습: 72.6% | 검증: 70.6% | lr: 5.00e-04
  에폭 106/300 | 손실: 0.5627 | 학습: 71.9% | 검증: 70.2% | lr: 5.00e-04
  에폭 107/300 | 손실: 0.5585 | 학습: 71.8% | 검증: 69.9% | lr: 5.00e-04
  에폭 108/300 | 손실: 0.5600 | 학습: 72.3% | 검증: 70.7% | lr: 5.00e-04
  에폭 109/300 | 손실: 0.5595 | 학습: 71.7% | 검증: 69.2% | lr: 5.00e-04
  에폭 110/300 | 손실: 0.5583 | 학습: 71.8% | 검증: 69.4% | lr: 5.00e-04
  에폭 111/300 | 손실: 0.5616 | 학습: 72.2% | 검증: 70.6% | lr: 5.00e-04
  에폭 112/300 | 손실: 0.5583 | 학습: 72.3% | 검증: 70.6% | lr: 5.00e-04
  에폭 113/300 | 손실: 0.5586 | 학습: 72.2% | 검증: 70.3% | lr: 5.00e-04
