[MLP]   svm_data_20260507_133636.csv                       24741샘플
[MLP] CSV 로드  →  총 24741샘플
[MLP] 로드 완료 | 전체: 24741개  (배경: 12371, 사람: 12370)
[MLP] 특징 모드: ESP32 (21개)
[MLP] 학습: 19792개 (80%)  검증: 4949개 (20%)  [비율고정: 유지 | 분리시드: 42]
[MLP] 스케일러: StandardScaler (z-score)
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
[MLP]  디바이스: cpu
[MLP]  구조: 21 → 128 → 64 → 32 → 2
[MLP]  에폭: 2000  배치: 256  LR: 1.00e-02  Dropout: 0.2
[MLP]  Early Stop: 비활성화
[MLP]  LR 스케줄러: patience=50  factor=0.5  min_lr=1e-6
[MLP]  검증 비율: 20%  분리 비율고정: 유지  분리 시드: 42
[MLP]  스케일러: StandardScaler  특징 모드: ESP32
[MLP]  사용 특징 (21개): SPECTRAL_ROLLOFF, SPECTRAL_BANDWIDTH, PEAK_COUNT, MID_RATIO, LOW_TO_HIGH_RATIO, SECOND_PEAK_FREQ, KURTOSIS, CENTROID, PEAK_FREQ, LOW_RATIO, RMS, AVG_ENERGY, PEAK_ENERGY, ENERGY_VARIANCE, PEAK_TO_AVG_E, HIGH_RATIO, PEAK1_TO_PEAK2_RATIO, SKEWNESS, DC_RATIO, DELTA_PEAK_FREQ, SPECTRAL_FLATNESS
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  에폭   1/2000 | 손실: 0.5987 | 학습: 65.8% | 검증: 64.3% | lr: 1.00e-02 | 0.3s ★
  에폭   2/2000 | 손실: 0.5820 | 학습: 68.1% | 검증: 66.3% | lr: 1.00e-02 | 0.3s ★
  에폭   3/2000 | 손실: 0.5728 | 학습: 68.3% | 검증: 67.1% | lr: 1.00e-02 | 0.3s ★
  에폭   4/2000 | 손실: 0.5649 | 학습: 69.2% | 검증: 67.5% | lr: 1.00e-02 | 0.3s ★
  에폭   5/2000 | 손실: 0.5627 | 학습: 69.7% | 검증: 68.1% | lr: 1.00e-02 | 0.3s ★
  에폭   6/2000 | 손실: 0.5589 | 학습: 70.4% | 검증: 68.4% | lr: 1.00e-02 | 0.3s ★
  에폭   7/2000 | 손실: 0.5542 | 학습: 70.5% | 검증: 67.8% | lr: 1.00e-02 | 0.3s
  에폭   8/2000 | 손실: 0.5492 | 학습: 71.1% | 검증: 69.2% | lr: 1.00e-02 | 0.3s ★
  에폭   9/2000 | 손실: 0.5492 | 학습: 71.2% | 검증: 68.8% | lr: 1.00e-02 | 0.2s
  에폭  10/2000 | 손실: 0.5453 | 학습: 71.4% | 검증: 68.7% | lr: 1.00e-02 | 0.3s
  에폭  11/2000 | 손실: 0.5417 | 학습: 71.7% | 검증: 69.6% | lr: 1.00e-02 | 0.3s ★
  에폭  12/2000 | 손실: 0.5386 | 학습: 72.3% | 검증: 70.1% | lr: 1.00e-02 | 0.3s ★
  에폭  13/2000 | 손실: 0.5348 | 학습: 72.8% | 검증: 70.6% | lr: 1.00e-02 | 0.2s ★
  에폭  14/2000 | 손실: 0.5289 | 학습: 71.9% | 검증: 69.1% | lr: 1.00e-02 | 0.2s
  에폭  15/2000 | 손실: 0.5273 | 학습: 73.2% | 검증: 70.9% | lr: 1.00e-02 | 0.2s ★
  에폭  16/2000 | 손실: 0.5222 | 학습: 73.3% | 검증: 71.2% | lr: 1.00e-02 | 0.2s ★
  에폭  17/2000 | 손실: 0.5185 | 학습: 73.5% | 검증: 70.4% | lr: 1.00e-02 | 0.3s
  에폭  18/2000 | 손실: 0.5201 | 학습: 74.0% | 검증: 71.1% | lr: 1.00e-02 | 0.2s
  에폭  19/2000 | 손실: 0.5157 | 학습: 75.2% | 검증: 71.8% | lr: 1.00e-02 | 0.2s ★
  에폭  20/2000 | 손실: 0.5120 | 학습: 75.8% | 검증: 72.1% | lr: 1.00e-02 | 0.2s ★
  에폭  21/2000 | 손실: 0.5102 | 학습: 74.8% | 검증: 71.9% | lr: 1.00e-02 | 0.2s
  에폭  22/2000 | 손실: 0.5061 | 학습: 75.3% | 검증: 72.1% | lr: 1.00e-02 | 0.3s
  에폭  23/2000 | 손실: 0.5052 | 학습: 75.5% | 검증: 72.0% | lr: 1.00e-02 | 0.2s
