[MLP]   svm_data_20260507_133636.csv                       24741샘플
[MLP] CSV 로드  →  총 24741샘플
[MLP] 로드 완료 | 전체: 24741개  (배경: 12371, 사람: 12370)
[MLP] 특징 모드: ESP32 (14개)
[MLP] 학습: 19792개 (80%)  검증: 4949개 (20%)  [비율고정: 유지 | 분리시드: 42]
[MLP] 스케일러: StandardScaler (z-score)
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
[MLP]  디바이스: cpu
[MLP]  구조: 14 → 64 → 32 → 2
[MLP]  에폭: 2000  배치: 128  LR: 1.00e-03  Dropout: 0.2
[MLP]  Early Stop: 비활성화
[MLP]  LR 스케줄러: patience=50  factor=0.5  min_lr=1e-6
[MLP]  검증 비율: 20%  분리 비율고정: 유지  분리 시드: 42
[MLP]  스케일러: StandardScaler  특징 모드: ESP32
[MLP]  사용 특징 (14개): SPECTRAL_BANDWIDTH, PEAK_COUNT, MID_RATIO, SECOND_PEAK_FREQ, KURTOSIS, CENTROID, PEAK_FREQ, LOW_RATIO, RMS, PEAK_TO_AVG_E, HIGH_RATIO, PEAK1_TO_PEAK2_RATIO, SKEWNESS, SPECTRAL_FLATNESS
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  에폭   1/2000 | 손실: 0.6059 | 학습: 66.3% | 검증: 64.6% | lr: 1.00e-03 | 0.3s ★
  에폭   2/2000 | 손실: 0.5869 | 학습: 67.1% | 검증: 66.1% | lr: 1.00e-03 | 0.3s ★
  에폭   3/2000 | 손실: 0.5829 | 학습: 67.8% | 검증: 65.9% | lr: 1.00e-03 | 0.3s
  에폭   4/2000 | 손실: 0.5772 | 학습: 68.2% | 검증: 66.5% | lr: 1.00e-03 | 0.3s ★
  에폭   5/2000 | 손실: 0.5758 | 학습: 68.5% | 검증: 66.6% | lr: 1.00e-03 | 0.3s ★
  에폭   6/2000 | 손실: 0.5726 | 학습: 68.9% | 검증: 66.8% | lr: 1.00e-03 | 0.3s ★
  에폭   7/2000 | 손실: 0.5702 | 학습: 68.9% | 검증: 66.9% | lr: 1.00e-03 | 0.3s ★
  에폭   8/2000 | 손실: 0.5706 | 학습: 69.5% | 검증: 67.6% | lr: 1.00e-03 | 0.3s ★
  에폭   9/2000 | 손실: 0.5671 | 학습: 69.4% | 검증: 67.1% | lr: 1.00e-03 | 0.3s
  에폭  10/2000 | 손실: 0.5619 | 학습: 70.4% | 검증: 67.8% | lr: 1.00e-03 | 0.3s ★
  에폭  11/2000 | 손실: 0.5639 | 학습: 70.3% | 검증: 68.3% | lr: 1.00e-03 | 0.3s ★
  에폭  12/2000 | 손실: 0.5575 | 학습: 70.7% | 검증: 68.2% | lr: 1.00e-03 | 0.3s
  에폭  13/2000 | 손실: 0.5579 | 학습: 70.7% | 검증: 68.3% | lr: 1.00e-03 | 0.3s
  에폭  14/2000 | 손실: 0.5543 | 학습: 71.3% | 검증: 68.2% | lr: 1.00e-03 | 0.3s
  에폭  15/2000 | 손실: 0.5547 | 학습: 71.4% | 검증: 68.7% | lr: 1.00e-03 | 0.3s ★
  에폭  16/2000 | 손실: 0.5529 | 학습: 71.2% | 검증: 69.4% | lr: 1.00e-03 | 0.3s ★
  에폭  17/2000 | 손실: 0.5528 | 학습: 71.5% | 검증: 69.4% | lr: 1.00e-03 | 0.3s
  에폭  18/2000 | 손실: 0.5499 | 학습: 71.6% | 검증: 69.4% | lr: 1.00e-03 | 0.3s
  에폭  19/2000 | 손실: 0.5474 | 학습: 72.4% | 검증: 69.8% | lr: 1.00e-03 | 0.3s ★
  에폭  20/2000 | 손실: 0.5471 | 학습: 71.9% | 검증: 69.8% | lr: 1.00e-03 | 0.3s ★
  에폭  21/2000 | 손실: 0.5448 | 학습: 72.8% | 검증: 70.8% | lr: 1.00e-03 | 0.3s ★
  에폭  22/2000 | 손실: 0.5445 | 학습: 72.5% | 검증: 70.7% | lr: 1.00e-03 | 0.3s
  에폭  23/2000 | 손실: 0.5414 | 학습: 72.8% | 검증: 70.8% | lr: 1.00e-03 | 0.3s ★
  에폭  24/2000 | 손실: 0.5425 | 학습: 72.9% | 검증: 70.3% | lr: 1.00e-03 | 0.3s
  에폭  25/2000 | 손실: 0.5391 | 학습: 73.5% | 검증: 70.8% | lr: 1.00e-03 | 0.3s
  에폭  26/2000 | 손실: 0.5407 | 학습: 73.2% | 검증: 70.8% | lr: 1.00e-03 | 0.3s
  에폭  27/2000 | 손실: 0.5365 | 학습: 73.6% | 검증: 71.0% | lr: 1.00e-03 | 0.3s ★
  에폭  28/2000 | 손실: 0.5363 | 학습: 73.6% | 검증: 71.4% | lr: 1.00e-03 | 0.3s ★
  에폭  29/2000 | 손실: 0.5373 | 학습: 73.2% | 검증: 70.9% | lr: 1.00e-03 | 0.3s
  에폭  30/2000 | 손실: 0.5351 | 학습: 73.8% | 검증: 71.2% | lr: 1.00e-03 | 0.3s
  에폭  31/2000 | 손실: 0.5326 | 학습: 73.9% | 검증: 71.4% | lr: 1.00e-03 | 0.3s
  에폭  32/2000 | 손실: 0.5307 | 학습: 74.0% | 검증: 71.9% | lr: 1.00e-03 | 0.3s ★
  에폭  33/2000 | 손실: 0.5303 | 학습: 73.9% | 검증: 72.0% | lr: 1.00e-03 | 0.3s ★
  에폭  34/2000 | 손실: 0.5294 | 학습: 74.4% | 검증: 71.8% | lr: 1.00e-03 | 0.3s
  에폭  35/2000 | 손실: 0.5283 | 학습: 74.2% | 검증: 71.5% | lr: 1.00e-03 | 0.3s
  에폭  36/2000 | 손실: 0.5271 | 학습: 74.4% | 검증: 71.8% | lr: 1.00e-03 | 0.3s
  에폭  37/2000 | 손실: 0.5296 | 학습: 74.6% | 검증: 72.4% | lr: 1.00e-03 | 0.3s ★
  에폭  38/2000 | 손실: 0.5265 | 학습: 75.0% | 검증: 72.7% | lr: 1.00e-03 | 0.3s ★
  에폭  39/2000 | 손실: 0.5276 | 학습: 74.9% | 검증: 72.8% | lr: 1.00e-03 | 0.3s ★
  에폭  40/2000 | 손실: 0.5256 | 학습: 74.7% | 검증: 71.9% | lr: 1.00e-03 | 0.3s
  에폭  41/2000 | 손실: 0.5241 | 학습: 75.1% | 검증: 72.3% | lr: 1.00e-03 | 0.3s
  에폭  42/2000 | 손실: 0.5243 | 학습: 75.5% | 검증: 72.6% | lr: 1.00e-03 | 0.3s
  에폭  43/2000 | 손실: 0.5224 | 학습: 75.3% | 검증: 73.1% | lr: 1.00e-03 | 0.3s ★
  에폭  44/2000 | 손실: 0.5203 | 학습: 75.0% | 검증: 72.7% | lr: 1.00e-03 | 0.3s
  에폭  45/2000 | 손실: 0.5203 | 학습: 75.6% | 검증: 73.1% | lr: 1.00e-03 | 0.3s ★
  에폭  46/2000 | 손실: 0.5210 | 학습: 75.6% | 검증: 72.3% | lr: 1.00e-03 | 0.3s
  에폭  47/2000 | 손실: 0.5205 | 학습: 75.2% | 검증: 73.2% | lr: 1.00e-03 | 0.3s ★
  에폭  48/2000 | 손실: 0.5204 | 학습: 75.9% | 검증: 72.7% | lr: 1.00e-03 | 0.3s
  에폭  49/2000 | 손실: 0.5190 | 학습: 75.8% | 검증: 73.1% | lr: 1.00e-03 | 0.3s
  에폭  50/2000 | 손실: 0.5191 | 학습: 76.0% | 검증: 73.0% | lr: 1.00e-03 | 0.3s
  에폭  51/2000 | 손실: 0.5166 | 학습: 75.7% | 검증: 73.2% | lr: 1.00e-03 | 0.3s
  에폭  52/2000 | 손실: 0.5198 | 학습: 75.7% | 검증: 73.1% | lr: 1.00e-03 | 0.3s
  에폭  53/2000 | 손실: 0.5171 | 학습: 76.1% | 검증: 73.3% | lr: 1.00e-03 | 0.3s ★
  에폭  54/2000 | 손실: 0.5153 | 학습: 76.2% | 검증: 73.6% | lr: 1.00e-03 | 0.3s ★
  에폭  55/2000 | 손실: 0.5171 | 학습: 76.2% | 검증: 73.8% | lr: 1.00e-03 | 0.3s ★
  에폭  56/2000 | 손실: 0.5142 | 학습: 76.2% | 검증: 73.9% | lr: 1.00e-03 | 0.3s ★
  에폭  57/2000 | 손실: 0.5146 | 학습: 75.8% | 검증: 73.8% | lr: 1.00e-03 | 0.3s
  에폭  58/2000 | 손실: 0.5176 | 학습: 76.0% | 검증: 73.5% | lr: 1.00e-03 | 0.3s
  에폭  59/2000 | 손실: 0.5140 | 학습: 76.3% | 검증: 73.5% | lr: 1.00e-03 | 0.3s
  에폭  60/2000 | 손실: 0.5123 | 학습: 76.5% | 검증: 73.3% | lr: 1.00e-03 | 0.3s
  에폭  61/2000 | 손실: 0.5107 | 학습: 76.0% | 검증: 73.6% | lr: 1.00e-03 | 0.3s
  에폭  62/2000 | 손실: 0.5127 | 학습: 76.5% | 검증: 73.8% | lr: 1.00e-03 | 0.3s
  에폭  63/2000 | 손실: 0.5099 | 학습: 76.6% | 검증: 73.6% | lr: 1.00e-03 | 0.3s
  에폭  64/2000 | 손실: 0.5121 | 학습: 76.5% | 검증: 73.5% | lr: 1.00e-03 | 0.3s
  에폭  65/2000 | 손실: 0.5104 | 학습: 76.3% | 검증: 73.7% | lr: 1.00e-03 | 0.3s
  에폭  66/2000 | 손실: 0.5082 | 학습: 76.2% | 검증: 73.7% | lr: 1.00e-03 | 0.4s
  에폭  67/2000 | 손실: 0.5117 | 학습: 76.8% | 검증: 74.2% | lr: 1.00e-03 | 0.3s ★
  에폭  68/2000 | 손실: 0.5049 | 학습: 76.6% | 검증: 73.8% | lr: 1.00e-03 | 0.3s
  에폭  69/2000 | 손실: 0.5106 | 학습: 76.7% | 검증: 74.0% | lr: 1.00e-03 | 0.3s
  에폭  70/2000 | 손실: 0.5035 | 학습: 76.8% | 검증: 74.0% | lr: 1.00e-03 | 0.3s
  에폭  71/2000 | 손실: 0.5119 | 학습: 76.7% | 검증: 74.0% | lr: 1.00e-03 | 0.3s
  에폭  72/2000 | 손실: 0.5050 | 학습: 77.3% | 검증: 74.4% | lr: 1.00e-03 | 0.3s ★
  에폭  73/2000 | 손실: 0.5063 | 학습: 76.9% | 검증: 73.9% | lr: 1.00e-03 | 0.3s
  에폭  74/2000 | 손실: 0.5068 | 학습: 77.1% | 검증: 73.8% | lr: 1.00e-03 | 0.3s
  에폭  75/2000 | 손실: 0.5056 | 학습: 76.8% | 검증: 74.3% | lr: 1.00e-03 | 0.3s
  에폭  76/2000 | 손실: 0.5062 | 학습: 77.1% | 검증: 74.3% | lr: 1.00e-03 | 0.3s
  에폭  77/2000 | 손실: 0.5065 | 학습: 76.8% | 검증: 74.0% | lr: 1.00e-03 | 0.3s
  에폭  78/2000 | 손실: 0.5034 | 학습: 77.1% | 검증: 74.5% | lr: 1.00e-03 | 0.3s ★
  에폭  79/2000 | 손실: 0.5017 | 학습: 76.9% | 검증: 74.6% | lr: 1.00e-03 | 0.3s ★
  에폭  80/2000 | 손실: 0.5045 | 학습: 77.2% | 검증: 74.1% | lr: 1.00e-03 | 0.3s
  에폭  81/2000 | 손실: 0.5040 | 학습: 77.4% | 검증: 74.7% | lr: 1.00e-03 | 0.3s ★
  에폭  82/2000 | 손실: 0.5051 | 학습: 77.1% | 검증: 74.2% | lr: 1.00e-03 | 0.3s
  에폭  83/2000 | 손실: 0.4994 | 학습: 77.2% | 검증: 74.7% | lr: 1.00e-03 | 0.3s
  에폭  84/2000 | 손실: 0.5033 | 학습: 77.6% | 검증: 74.9% | lr: 1.00e-03 | 0.3s ★
  에폭  85/2000 | 손실: 0.5022 | 학습: 77.8% | 검증: 74.6% | lr: 1.00e-03 | 0.3s
  에폭  86/2000 | 손실: 0.4987 | 학습: 77.5% | 검증: 74.3% | lr: 1.00e-03 | 0.3s
  에폭  87/2000 | 손실: 0.4999 | 학습: 77.8% | 검증: 74.8% | lr: 1.00e-03 | 0.3s
  에폭  88/2000 | 손실: 0.5039 | 학습: 77.7% | 검증: 74.6% | lr: 1.00e-03 | 0.3s
  에폭  89/2000 | 손실: 0.4974 | 학습: 78.0% | 검증: 74.9% | lr: 1.00e-03 | 0.3s ★
  에폭  90/2000 | 손실: 0.5010 | 학습: 77.6% | 검증: 74.4% | lr: 1.00e-03 | 0.3s
  에폭  91/2000 | 손실: 0.4965 | 학습: 77.3% | 검증: 74.2% | lr: 1.00e-03 | 0.3s
  에폭  92/2000 | 손실: 0.4999 | 학습: 77.5% | 검증: 74.6% | lr: 1.00e-03 | 0.3s
  에폭  93/2000 | 손실: 0.4990 | 학습: 77.6% | 검증: 75.0% | lr: 1.00e-03 | 0.3s ★
  에폭  94/2000 | 손실: 0.4972 | 학습: 77.9% | 검증: 75.5% | lr: 1.00e-03 | 0.3s ★
  에폭  95/2000 | 손실: 0.4958 | 학습: 77.4% | 검증: 74.7% | lr: 1.00e-03 | 0.3s
  에폭  96/2000 | 손실: 0.4945 | 학습: 77.8% | 검증: 74.9% | lr: 1.00e-03 | 0.3s
  에폭  97/2000 | 손실: 0.4998 | 학습: 77.3% | 검증: 74.5% | lr: 1.00e-03 | 0.3s
  에폭  98/2000 | 손실: 0.4937 | 학습: 78.1% | 검증: 75.1% | lr: 1.00e-03 | 0.3s
  에폭  99/2000 | 손실: 0.4978 | 학습: 77.6% | 검증: 74.8% | lr: 1.00e-03 | 0.3s
  에폭 100/2000 | 손실: 0.5002 | 학습: 78.3% | 검증: 75.2% | lr: 1.00e-03 | 0.3s
  에폭 101/2000 | 손실: 0.4979 | 학습: 77.9% | 검증: 75.3% | lr: 1.00e-03 | 0.3s
  에폭 102/2000 | 손실: 0.4976 | 학습: 78.1% | 검증: 75.4% | lr: 1.00e-03 | 0.3s
  에폭 103/2000 | 손실: 0.4957 | 학습: 78.3% | 검증: 75.2% | lr: 1.00e-03 | 0.3s
  에폭 104/2000 | 손실: 0.4974 | 학습: 78.1% | 검증: 75.0% | lr: 1.00e-03 | 0.3s
  에폭 105/2000 | 손실: 0.4922 | 학습: 78.3% | 검증: 74.8% | lr: 1.00e-03 | 0.3s
  에폭 106/2000 | 손실: 0.4920 | 학습: 78.5% | 검증: 75.6% | lr: 1.00e-03 | 0.3s ★
  에폭 107/2000 | 손실: 0.4945 | 학습: 78.5% | 검증: 74.8% | lr: 1.00e-03 | 0.3s
  에폭 108/2000 | 손실: 0.4949 | 학습: 78.7% | 검증: 75.1% | lr: 1.00e-03 | 0.3s
  에폭 109/2000 | 손실: 0.4941 | 학습: 77.9% | 검증: 74.9% | lr: 1.00e-03 | 0.3s
  에폭 110/2000 | 손실: 0.4927 | 학습: 78.2% | 검증: 75.1% | lr: 1.00e-03 | 0.3s
  에폭 111/2000 | 손실: 0.4914 | 학습: 78.4% | 검증: 75.5% | lr: 1.00e-03 | 0.3s
  에폭 112/2000 | 손실: 0.4906 | 학습: 78.6% | 검증: 75.4% | lr: 1.00e-03 | 0.3s
  에폭 113/2000 | 손실: 0.4941 | 학습: 78.4% | 검증: 75.3% | lr: 1.00e-03 | 0.3s
  에폭 114/2000 | 손실: 0.4929 | 학습: 78.9% | 검증: 75.7% | lr: 1.00e-03 | 0.3s ★
  에폭 115/2000 | 손실: 0.4933 | 학습: 78.7% | 검증: 75.8% | lr: 1.00e-03 | 0.3s ★
  에폭 116/2000 | 손실: 0.4908 | 학습: 78.4% | 검증: 75.7% | lr: 1.00e-03 | 0.3s
  에폭 117/2000 | 손실: 0.4934 | 학습: 78.6% | 검증: 75.6% | lr: 1.00e-03 | 0.3s
  에폭 118/2000 | 손실: 0.4909 | 학습: 78.6% | 검증: 75.1% | lr: 1.00e-03 | 0.3s
  에폭 119/2000 | 손실: 0.4890 | 학습: 78.7% | 검증: 75.3% | lr: 1.00e-03 | 0.3s
  에폭 120/2000 | 손실: 0.4895 | 학습: 78.3% | 검증: 75.2% | lr: 1.00e-03 | 0.3s
  에폭 121/2000 | 손실: 0.4873 | 학습: 78.9% | 검증: 75.9% | lr: 1.00e-03 | 0.3s ★
  에폭 122/2000 | 손실: 0.4890 | 학습: 78.9% | 검증: 75.8% | lr: 1.00e-03 | 0.3s
  에폭 123/2000 | 손실: 0.4877 | 학습: 78.6% | 검증: 74.9% | lr: 1.00e-03 | 0.3s
  에폭 124/2000 | 손실: 0.4886 | 학습: 78.7% | 검증: 75.6% | lr: 1.00e-03 | 0.3s
  에폭 125/2000 | 손실: 0.4915 | 학습: 79.0% | 검증: 76.1% | lr: 1.00e-03 | 0.3s ★
  에폭 126/2000 | 손실: 0.4865 | 학습: 78.9% | 검증: 75.8% | lr: 1.00e-03 | 0.3s
  에폭 127/2000 | 손실: 0.4898 | 학습: 79.2% | 검증: 76.2% | lr: 1.00e-03 | 0.3s ★
  에폭 128/2000 | 손실: 0.4879 | 학습: 78.7% | 검증: 75.4% | lr: 1.00e-03 | 0.3s
  에폭 129/2000 | 손실: 0.4877 | 학습: 79.1% | 검증: 75.1% | lr: 1.00e-03 | 0.3s
  에폭 130/2000 | 손실: 0.4853 | 학습: 78.8% | 검증: 75.9% | lr: 1.00e-03 | 0.3s
  에폭 131/2000 | 손실: 0.4857 | 학습: 79.3% | 검증: 76.0% | lr: 1.00e-03 | 0.3s
  에폭 132/2000 | 손실: 0.4898 | 학습: 78.9% | 검증: 76.3% | lr: 1.00e-03 | 0.3s ★
  에폭 133/2000 | 손실: 0.4868 | 학습: 79.2% | 검증: 76.0% | lr: 1.00e-03 | 0.3s
  에폭 134/2000 | 손실: 0.4873 | 학습: 79.1% | 검증: 75.9% | lr: 1.00e-03 | 0.3s
  에폭 135/2000 | 손실: 0.4876 | 학습: 79.4% | 검증: 76.3% | lr: 1.00e-03 | 0.3s ★
  에폭 136/2000 | 손실: 0.4840 | 학습: 79.3% | 검증: 75.9% | lr: 1.00e-03 | 0.3s
  에폭 137/2000 | 손실: 0.4870 | 학습: 79.2% | 검증: 75.8% | lr: 1.00e-03 | 0.3s
  에폭 138/2000 | 손실: 0.4884 | 학습: 79.1% | 검증: 76.1% | lr: 1.00e-03 | 0.3s
  에폭 139/2000 | 손실: 0.4876 | 학습: 79.0% | 검증: 76.0% | lr: 1.00e-03 | 0.3s
  에폭 140/2000 | 손실: 0.4861 | 학습: 79.5% | 검증: 76.0% | lr: 1.00e-03 | 0.3s
  에폭 141/2000 | 손실: 0.4876 | 학습: 79.2% | 검증: 75.9% | lr: 1.00e-03 | 0.3s
  에폭 142/2000 | 손실: 0.4843 | 학습: 79.0% | 검증: 75.7% | lr: 1.00e-03 | 0.3s
  에폭 143/2000 | 손실: 0.4851 | 학습: 79.2% | 검증: 75.6% | lr: 1.00e-03 | 0.3s
  에폭 144/2000 | 손실: 0.4845 | 학습: 79.2% | 검증: 76.2% | lr: 1.00e-03 | 0.3s
