[MLP]   svm_data_20260507_133636.csv                       24741샘플
[MLP] CSV 로드  →  총 24741샘플
[MLP] 로드 완료 | 전체: 24741개  (배경: 12371, 사람: 12370)
[MLP] 특징 모드: ESP32 (14개)
[MLP] 학습: 19792개 (80%)  검증: 4949개 (20%)  [비율고정: 유지 | 분리시드: 42]
[MLP] 스케일러: StandardScaler (z-score)
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
[MLP]  디바이스: cpu
[MLP]  구조: 14 → 64 → 32 → 2
[MLP]  에폭: 1000  배치: 128  LR: 1.00e-03  Dropout: 0.2
[MLP]  Early Stop: 비활성화
[MLP]  LR 스케줄러: patience=50  factor=0.5  min_lr=1e-6
[MLP]  검증 비율: 20%  분리 비율고정: 유지  분리 시드: 42
[MLP]  스케일러: StandardScaler  특징 모드: ESP32
[MLP]  사용 특징 (14개): SPECTRAL_BANDWIDTH, PEAK_COUNT, MID_RATIO, SECOND_PEAK_FREQ, KURTOSIS, CENTROID, PEAK_FREQ, LOW_RATIO, RMS, PEAK_TO_AVG_E, HIGH_RATIO, PEAK1_TO_PEAK2_RATIO, SKEWNESS, SPECTRAL_FLATNESS
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  에폭   1/1000 | 손실: 0.6117 | 학습: 65.4% | 검증: 63.8% | lr: 1.00e-03 | 0.3s ★
  에폭   2/1000 | 손실: 0.5884 | 학습: 67.3% | 검증: 65.1% | lr: 1.00e-03 | 0.3s ★
  에폭   3/1000 | 손실: 0.5845 | 학습: 67.7% | 검증: 65.4% | lr: 1.00e-03 | 0.3s ★
  에폭   4/1000 | 손실: 0.5799 | 학습: 67.4% | 검증: 65.5% | lr: 1.00e-03 | 0.3s ★
  에폭   5/1000 | 손실: 0.5781 | 학습: 68.3% | 검증: 66.0% | lr: 1.00e-03 | 0.3s ★
  에폭   6/1000 | 손실: 0.5733 | 학습: 68.6% | 검증: 66.5% | lr: 1.00e-03 | 0.3s ★
  에폭   7/1000 | 손실: 0.5730 | 학습: 68.8% | 검증: 66.7% | lr: 1.00e-03 | 0.3s ★
  에폭   8/1000 | 손실: 0.5693 | 학습: 69.6% | 검증: 67.4% | lr: 1.00e-03 | 0.3s ★
  에폭   9/1000 | 손실: 0.5666 | 학습: 70.1% | 검증: 67.7% | lr: 1.00e-03 | 0.3s ★
  에폭  10/1000 | 손실: 0.5631 | 학습: 70.0% | 검증: 67.9% | lr: 1.00e-03 | 0.3s ★
  에폭  11/1000 | 손실: 0.5616 | 학습: 70.3% | 검증: 68.2% | lr: 1.00e-03 | 0.3s ★
  에폭  12/1000 | 손실: 0.5615 | 학습: 70.6% | 검증: 68.4% | lr: 1.00e-03 | 0.3s ★
  에폭  13/1000 | 손실: 0.5580 | 학습: 70.9% | 검증: 68.3% | lr: 1.00e-03 | 0.3s
  에폭  14/1000 | 손실: 0.5568 | 학습: 71.0% | 검증: 69.0% | lr: 1.00e-03 | 0.3s ★
  에폭  15/1000 | 손실: 0.5572 | 학습: 71.0% | 검증: 69.0% | lr: 1.00e-03 | 0.3s
  에폭  16/1000 | 손실: 0.5560 | 학습: 71.8% | 검증: 69.7% | lr: 1.00e-03 | 0.3s ★
  에폭  17/1000 | 손실: 0.5524 | 학습: 71.9% | 검증: 69.5% | lr: 1.00e-03 | 0.3s
  에폭  18/1000 | 손실: 0.5520 | 학습: 71.9% | 검증: 69.7% | lr: 1.00e-03 | 0.3s ★
  에폭  19/1000 | 손실: 0.5478 | 학습: 71.7% | 검증: 69.4% | lr: 1.00e-03 | 0.3s
  에폭  20/1000 | 손실: 0.5468 | 학습: 72.5% | 검증: 70.6% | lr: 1.00e-03 | 0.3s ★
  에폭  21/1000 | 손실: 0.5462 | 학습: 72.5% | 검증: 70.4% | lr: 1.00e-03 | 0.3s
  에폭  22/1000 | 손실: 0.5456 | 학습: 72.7% | 검증: 71.0% | lr: 1.00e-03 | 0.3s ★
  에폭  23/1000 | 손실: 0.5451 | 학습: 72.7% | 검증: 70.7% | lr: 1.00e-03 | 0.3s
  에폭  24/1000 | 손실: 0.5427 | 학습: 73.1% | 검증: 71.5% | lr: 1.00e-03 | 0.3s ★
  에폭  25/1000 | 손실: 0.5406 | 학습: 72.8% | 검증: 70.8% | lr: 1.00e-03 | 0.3s
  에폭  26/1000 | 손실: 0.5383 | 학습: 72.9% | 검증: 71.1% | lr: 1.00e-03 | 0.3s
  에폭  27/1000 | 손실: 0.5397 | 학습: 73.0% | 검증: 71.0% | lr: 1.00e-03 | 0.3s
  에폭  28/1000 | 손실: 0.5410 | 학습: 73.5% | 검증: 71.7% | lr: 1.00e-03 | 0.3s ★
  에폭  29/1000 | 손실: 0.5339 | 학습: 73.6% | 검증: 71.5% | lr: 1.00e-03 | 0.3s
  에폭  30/1000 | 손실: 0.5368 | 학습: 74.0% | 검증: 71.9% | lr: 1.00e-03 | 0.3s ★
  에폭  31/1000 | 손실: 0.5354 | 학습: 74.0% | 검증: 72.1% | lr: 1.00e-03 | 0.4s ★
  에폭  32/1000 | 손실: 0.5338 | 학습: 73.8% | 검증: 71.2% | lr: 1.00e-03 | 0.3s
  에폭  33/1000 | 손실: 0.5343 | 학습: 74.0% | 검증: 72.2% | lr: 1.00e-03 | 0.3s ★
  에폭  34/1000 | 손실: 0.5320 | 학습: 74.2% | 검증: 72.0% | lr: 1.00e-03 | 0.4s
  에폭  35/1000 | 손실: 0.5323 | 학습: 74.4% | 검증: 71.9% | lr: 1.00e-03 | 0.4s
  에폭  36/1000 | 손실: 0.5299 | 학습: 74.4% | 검증: 72.1% | lr: 1.00e-03 | 0.4s
  에폭  37/1000 | 손실: 0.5314 | 학습: 74.4% | 검증: 72.1% | lr: 1.00e-03 | 0.3s
  에폭  38/1000 | 손실: 0.5281 | 학습: 74.5% | 검증: 72.7% | lr: 1.00e-03 | 0.4s ★
  에폭  39/1000 | 손실: 0.5254 | 학습: 74.5% | 검증: 72.3% | lr: 1.00e-03 | 0.5s
  에폭  40/1000 | 손실: 0.5267 | 학습: 74.5% | 검증: 72.2% | lr: 1.00e-03 | 0.3s
  에폭  41/1000 | 손실: 0.5247 | 학습: 74.1% | 검증: 72.2% | lr: 1.00e-03 | 0.3s
  에폭  42/1000 | 손실: 0.5223 | 학습: 74.7% | 검증: 72.6% | lr: 1.00e-03 | 0.3s
  에폭  43/1000 | 손실: 0.5261 | 학습: 74.5% | 검증: 72.6% | lr: 1.00e-03 | 0.4s
  에폭  44/1000 | 손실: 0.5253 | 학습: 74.6% | 검증: 72.0% | lr: 1.00e-03 | 0.4s
  에폭  45/1000 | 손실: 0.5232 | 학습: 75.3% | 검증: 73.2% | lr: 1.00e-03 | 0.3s ★
  에폭  46/1000 | 손실: 0.5223 | 학습: 75.1% | 검증: 73.5% | lr: 1.00e-03 | 0.3s ★
  에폭  47/1000 | 손실: 0.5204 | 학습: 75.2% | 검증: 73.0% | lr: 1.00e-03 | 0.3s
  에폭  48/1000 | 손실: 0.5194 | 학습: 74.9% | 검증: 72.2% | lr: 1.00e-03 | 0.3s
  에폭  49/1000 | 손실: 0.5200 | 학습: 75.2% | 검증: 72.8% | lr: 1.00e-03 | 0.3s
  에폭  50/1000 | 손실: 0.5206 | 학습: 75.2% | 검증: 72.6% | lr: 1.00e-03 | 0.3s
  에폭  51/1000 | 손실: 0.5194 | 학습: 75.0% | 검증: 72.9% | lr: 1.00e-03 | 0.3s
  에폭  52/1000 | 손실: 0.5166 | 학습: 75.7% | 검증: 73.2% | lr: 1.00e-03 | 0.3s
  에폭  53/1000 | 손실: 0.5180 | 학습: 75.6% | 검증: 73.7% | lr: 1.00e-03 | 0.3s ★
  에폭  54/1000 | 손실: 0.5176 | 학습: 75.5% | 검증: 72.5% | lr: 1.00e-03 | 0.3s
  에폭  55/1000 | 손실: 0.5132 | 학습: 75.4% | 검증: 73.1% | lr: 1.00e-03 | 0.3s
  에폭  56/1000 | 손실: 0.5146 | 학습: 75.5% | 검증: 72.7% | lr: 1.00e-03 | 0.3s
  에폭  57/1000 | 손실: 0.5152 | 학습: 75.8% | 검증: 73.3% | lr: 1.00e-03 | 0.4s
  에폭  58/1000 | 손실: 0.5144 | 학습: 75.6% | 검증: 73.6% | lr: 1.00e-03 | 0.3s
  에폭  59/1000 | 손실: 0.5143 | 학습: 75.7% | 검증: 73.7% | lr: 1.00e-03 | 0.3s ★
  에폭  60/1000 | 손실: 0.5145 | 학습: 75.7% | 검증: 73.5% | lr: 1.00e-03 | 0.3s
  에폭  61/1000 | 손실: 0.5130 | 학습: 75.9% | 검증: 73.5% | lr: 1.00e-03 | 0.3s
  에폭  62/1000 | 손실: 0.5124 | 학습: 76.0% | 검증: 73.9% | lr: 1.00e-03 | 0.3s ★
  에폭  63/1000 | 손실: 0.5121 | 학습: 76.1% | 검증: 73.4% | lr: 1.00e-03 | 0.3s
  에폭  64/1000 | 손실: 0.5099 | 학습: 75.9% | 검증: 73.4% | lr: 1.00e-03 | 0.3s
  에폭  65/1000 | 손실: 0.5126 | 학습: 75.9% | 검증: 73.5% | lr: 1.00e-03 | 0.3s
  에폭  66/1000 | 손실: 0.5115 | 학습: 76.0% | 검증: 73.7% | lr: 1.00e-03 | 0.3s
  에폭  67/1000 | 손실: 0.5087 | 학습: 75.7% | 검증: 73.2% | lr: 1.00e-03 | 0.3s
  에폭  68/1000 | 손실: 0.5098 | 학습: 75.8% | 검증: 73.5% | lr: 1.00e-03 | 0.3s
  에폭  69/1000 | 손실: 0.5087 | 학습: 76.4% | 검증: 74.2% | lr: 1.00e-03 | 0.3s ★
  에폭  70/1000 | 손실: 0.5060 | 학습: 76.3% | 검증: 74.0% | lr: 1.00e-03 | 0.3s
  에폭  71/1000 | 손실: 0.5086 | 학습: 76.5% | 검증: 73.9% | lr: 1.00e-03 | 0.3s
  에폭  72/1000 | 손실: 0.5078 | 학습: 76.2% | 검증: 74.4% | lr: 1.00e-03 | 0.3s ★
  에폭  73/1000 | 손실: 0.5059 | 학습: 76.3% | 검증: 74.2% | lr: 1.00e-03 | 0.3s
  에폭  74/1000 | 손실: 0.5067 | 학습: 76.8% | 검증: 75.0% | lr: 1.00e-03 | 0.3s ★
  에폭  75/1000 | 손실: 0.5055 | 학습: 76.2% | 검증: 72.7% | lr: 1.00e-03 | 0.3s
  에폭  76/1000 | 손실: 0.5050 | 학습: 76.5% | 검증: 74.7% | lr: 1.00e-03 | 0.3s
  에폭  77/1000 | 손실: 0.5060 | 학습: 76.5% | 검증: 74.1% | lr: 1.00e-03 | 0.3s
  에폭  78/1000 | 손실: 0.5036 | 학습: 76.3% | 검증: 74.4% | lr: 1.00e-03 | 0.3s
  에폭  79/1000 | 손실: 0.5042 | 학습: 76.3% | 검증: 74.0% | lr: 1.00e-03 | 0.3s
  에폭  80/1000 | 손실: 0.5060 | 학습: 76.3% | 검증: 73.8% | lr: 1.00e-03 | 0.3s
  에폭  81/1000 | 손실: 0.5036 | 학습: 76.8% | 검증: 74.2% | lr: 1.00e-03 | 0.3s
  에폭  82/1000 | 손실: 0.5006 | 학습: 76.8% | 검증: 74.0% | lr: 1.00e-03 | 0.3s
  에폭  83/1000 | 손실: 0.5048 | 학습: 76.6% | 검증: 73.6% | lr: 1.00e-03 | 0.3s
  에폭  84/1000 | 손실: 0.5021 | 학습: 76.8% | 검증: 73.7% | lr: 1.00e-03 | 0.3s
  에폭  85/1000 | 손실: 0.5018 | 학습: 76.8% | 검증: 74.2% | lr: 1.00e-03 | 0.3s
  에폭  86/1000 | 손실: 0.5002 | 학습: 76.9% | 검증: 74.4% | lr: 1.00e-03 | 0.3s
  에폭  87/1000 | 손실: 0.4984 | 학습: 77.2% | 검증: 74.8% | lr: 1.00e-03 | 0.3s
  에폭  88/1000 | 손실: 0.4999 | 학습: 77.0% | 검증: 74.8% | lr: 1.00e-03 | 0.3s
  에폭  89/1000 | 손실: 0.5029 | 학습: 77.1% | 검증: 74.5% | lr: 1.00e-03 | 0.3s
  에폭  90/1000 | 손실: 0.4995 | 학습: 77.2% | 검증: 74.7% | lr: 1.00e-03 | 0.3s
  에폭  91/1000 | 손실: 0.4978 | 학습: 77.0% | 검증: 74.3% | lr: 1.00e-03 | 0.3s
  에폭  92/1000 | 손실: 0.5006 | 학습: 76.9% | 검증: 74.3% | lr: 1.00e-03 | 0.3s
  에폭  93/1000 | 손실: 0.4995 | 학습: 76.9% | 검증: 74.2% | lr: 1.00e-03 | 0.3s
