[MLP]   svm_data_20260507_133636.csv                       24741샘플
[MLP] CSV 로드  →  총 24741샘플
[MLP] 로드 완료 | 전체: 24741개  (배경: 12371, 사람: 12370)
[MLP] 특징 모드: ESP32 (21개)
[MLP] 학습: 19792개 (80%)  검증: 4949개 (20%)  [비율고정: 유지 | 분리시드: 42]
[MLP] 스케일러: StandardScaler (z-score)
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
[MLP]  디바이스: cpu
[MLP]  구조: 21 → 128 → 64 → 32 → 2
[MLP]  에폭: 3000  배치: 64  LR: 5.00e-04  Dropout: 0.3
[MLP]  Early Stop: 비활성화
[MLP]  LR 스케줄러: patience=100  factor=0.9  min_lr=1e-6
[MLP]  검증 비율: 20%  분리 비율고정: 유지  분리 시드: 42
[MLP]  스케일러: StandardScaler  특징 모드: ESP32
[MLP]  사용 특징 (21개): SPECTRAL_ROLLOFF, SPECTRAL_BANDWIDTH, PEAK_COUNT, MID_RATIO, LOW_TO_HIGH_RATIO, SECOND_PEAK_FREQ, KURTOSIS, CENTROID, PEAK_FREQ, LOW_RATIO, RMS, AVG_ENERGY, PEAK_ENERGY, ENERGY_VARIANCE, PEAK_TO_AVG_E, HIGH_RATIO, PEAK1_TO_PEAK2_RATIO, SKEWNESS, DC_RATIO, DELTA_PEAK_FREQ, SPECTRAL_FLATNESS
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  에폭  33/3000 | 손실: 0.5144 | 검증손실: 0.5105 | 학습: 76.4% | 검증: 73.7% | lr: 5.00e-04 | 0.5s ★
  에폭  34/3000 | 손실: 0.5134 | 검증손실: 0.5043 | 학습: 76.4% | 검증: 73.7% | lr: 5.00e-04 | 0.5s
  에폭  35/3000 | 손실: 0.5136 | 검증손실: 0.5057 | 학습: 76.7% | 검증: 74.2% | lr: 5.00e-04 | 0.5s ★
  에폭  36/3000 | 손실: 0.5099 | 검증손실: 0.5000 | 학습: 76.8% | 검증: 74.3% | lr: 5.00e-04 | 0.5s ★
  에폭  37/3000 | 손실: 0.5097 | 검증손실: 0.5006 | 학습: 77.3% | 검증: 73.8% | lr: 5.00e-04 | 0.5s
  에폭  38/3000 | 손실: 0.5069 | 검증손실: 0.4992 | 학습: 77.2% | 검증: 73.9% | lr: 5.00e-04 | 0.5s
  에폭  39/3000 | 손실: 0.5007 | 검증손실: 0.4988 | 학습: 77.4% | 검증: 74.5% | lr: 5.00e-04 | 0.5s ★
  에폭  40/3000 | 손실: 0.5043 | 검증손실: 0.4931 | 학습: 77.8% | 검증: 74.0% | lr: 5.00e-04 | 0.5s
  에폭  41/3000 | 손실: 0.5023 | 검증손실: 0.4940 | 학습: 77.9% | 검증: 74.1% | lr: 5.00e-04 | 0.5s
  에폭  42/3000 | 손실: 0.5031 | 검증손실: 0.4962 | 학습: 78.2% | 검증: 75.0% | lr: 5.00e-04 | 0.5s ★
  에폭  43/3000 | 손실: 0.4965 | 검증손실: 0.4892 | 학습: 77.6% | 검증: 74.8% | lr: 5.00e-04 | 0.5s
  에폭  44/3000 | 손실: 0.4972 | 검증손실: 0.4900 | 학습: 78.2% | 검증: 74.8% | lr: 5.00e-04 | 0.5s
  에폭  45/3000 | 손실: 0.4943 | 검증손실: 0.4915 | 학습: 77.9% | 검증: 74.6% | lr: 5.00e-04 | 0.5s
  에폭  46/3000 | 손실: 0.4971 | 검증손실: 0.4818 | 학습: 78.6% | 검증: 75.0% | lr: 5.00e-04 | 0.5s ★
  에폭  47/3000 | 손실: 0.4957 | 검증손실: 0.4854 | 학습: 78.6% | 검증: 75.6% | lr: 5.00e-04 | 0.5s ★
  에폭  48/3000 | 손실: 0.4934 | 검증손실: 0.4828 | 학습: 78.9% | 검증: 75.4% | lr: 5.00e-04 | 0.5s
  에폭  49/3000 | 손실: 0.4938 | 검증손실: 0.4836 | 학습: 78.5% | 검증: 75.5% | lr: 5.00e-04 | 0.5s
  에폭  50/3000 | 손실: 0.4903 | 검증손실: 0.4837 | 학습: 78.7% | 검증: 75.4% | lr: 5.00e-04 | 0.5s
  에폭  51/3000 | 손실: 0.4874 | 검증손실: 0.4829 | 학습: 79.1% | 검증: 75.3% | lr: 5.00e-04 | 0.5s
  에폭  52/3000 | 손실: 0.4880 | 검증손실: 0.4861 | 학습: 78.8% | 검증: 75.0% | lr: 5.00e-04 | 0.5s
  에폭  53/3000 | 손실: 0.4857 | 검증손실: 0.4748 | 학습: 79.7% | 검증: 76.0% | lr: 5.00e-04 | 0.5s ★
  에폭  54/3000 | 손실: 0.4856 | 검증손실: 0.4733 | 학습: 79.8% | 검증: 76.0% | lr: 5.00e-04 | 0.5s ★
  에폭  55/3000 | 손실: 0.4876 | 검증손실: 0.4768 | 학습: 79.8% | 검증: 76.0% | lr: 5.00e-04 | 0.5s
