[MLP]   svm_data_20260507_133636.csv                       24741샘플
[MLP] CSV 로드  →  총 24741샘플
[MLP] 로드 완료 | 전체: 24741개  (배경: 12371, 사람: 12370)
[MLP] 특징 모드: ESP32 (14개)
[MLP] 학습: 19792개 (80%)  검증: 4949개 (20%)  [비율고정: 유지 | 분리시드: 42]
[MLP] 스케일러: StandardScaler (z-score)
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
[MLP]  디바이스: cpu
[MLP]  구조: 14 → 64 → 32 → 2
[MLP]  에폭: 1000  배치: 256  LR: 4.00e-03  Dropout: 0.2
[MLP]  Early Stop: 비활성화
[MLP]  LR 스케줄러: patience=50  factor=0.5  min_lr=1e-6
[MLP]  검증 비율: 20%  분리 비율고정: 유지  분리 시드: 42
[MLP]  스케일러: StandardScaler  특징 모드: ESP32
[MLP]  사용 특징 (14개): SPECTRAL_BANDWIDTH, PEAK_COUNT, MID_RATIO, SECOND_PEAK_FREQ, KURTOSIS, CENTROID, PEAK_FREQ, LOW_RATIO, RMS, PEAK_TO_AVG_E, HIGH_RATIO, PEAK1_TO_PEAK2_RATIO, SKEWNESS, SPECTRAL_FLATNESS
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  에폭  42/1000 | 손실: 0.5072 | 학습: 76.6% | 검증: 73.1% | lr: 4.00e-03 | 0.3s
  에폭  43/1000 | 손실: 0.5049 | 학습: 76.9% | 검증: 73.5% | lr: 4.00e-03 | 0.3s
  에폭  44/1000 | 손실: 0.5059 | 학습: 76.5% | 검증: 73.3% | lr: 4.00e-03 | 0.3s
  에폭  45/1000 | 손실: 0.4997 | 학습: 76.8% | 검증: 73.2% | lr: 4.00e-03 | 0.3s
  에폭  46/1000 | 손실: 0.4997 | 학습: 76.7% | 검증: 73.0% | lr: 4.00e-03 | 0.3s
  에폭  47/1000 | 손실: 0.4969 | 학습: 76.9% | 검증: 73.5% | lr: 4.00e-03 | 0.3s
  에폭  48/1000 | 손실: 0.5000 | 학습: 77.1% | 검증: 73.8% | lr: 4.00e-03 | 0.3s ★
  에폭  49/1000 | 손실: 0.4987 | 학습: 77.1% | 검증: 74.0% | lr: 4.00e-03 | 0.3s ★
  에폭  50/1000 | 손실: 0.4993 | 학습: 77.1% | 검증: 74.5% | lr: 4.00e-03 | 0.3s ★
  에폭  51/1000 | 손실: 0.4985 | 학습: 77.5% | 검증: 73.8% | lr: 4.00e-03 | 0.3s
  에폭  52/1000 | 손실: 0.4914 | 학습: 77.5% | 검증: 74.4% | lr: 4.00e-03 | 0.3s
  에폭  53/1000 | 손실: 0.4974 | 학습: 77.7% | 검증: 73.6% | lr: 4.00e-03 | 0.3s
  에폭  54/1000 | 손실: 0.4919 | 학습: 77.5% | 검증: 74.6% | lr: 4.00e-03 | 0.3s ★
  에폭  55/1000 | 손실: 0.4940 | 학습: 77.8% | 검증: 74.6% | lr: 4.00e-03 | 0.3s ★
  에폭  56/1000 | 손실: 0.4930 | 학습: 77.4% | 검증: 74.6% | lr: 4.00e-03 | 0.3s
  에폭  57/1000 | 손실: 0.4935 | 학습: 77.7% | 검증: 74.0% | lr: 4.00e-03 | 0.3s
  에폭  58/1000 | 손실: 0.4943 | 학습: 77.4% | 검증: 74.1% | lr: 4.00e-03 | 0.3s
  에폭  59/1000 | 손실: 0.4911 | 학습: 77.3% | 검증: 74.4% | lr: 4.00e-03 | 0.3s
  에폭  60/1000 | 손실: 0.4908 | 학습: 78.0% | 검증: 74.5% | lr: 4.00e-03 | 0.3s
  에폭  61/1000 | 손실: 0.4905 | 학습: 77.9% | 검증: 75.3% | lr: 4.00e-03 | 0.3s ★
  에폭  62/1000 | 손실: 0.4898 | 학습: 77.6% | 검증: 74.2% | lr: 4.00e-03 | 0.3s
  에폭  63/1000 | 손실: 0.4875 | 학습: 77.7% | 검증: 74.6% | lr: 4.00e-03 | 0.3s
  에폭  64/1000 | 손실: 0.4879 | 학습: 78.0% | 검증: 74.6% | lr: 4.00e-03 | 0.3s
