[MLP]   svm_data_20260507_133636.csv                       24741샘플
[MLP] CSV 로드  →  총 24741샘플
[MLP] 로드 완료 | 전체: 24741개  (배경: 12371, 사람: 12370)
[MLP] 특징 모드: ESP32 (21개)
[MLP] 학습: 19792개 (80%)  검증: 4949개 (20%)  [비율고정: 유지 | 분리시드: 42]
[MLP] 스케일러: StandardScaler (z-score)
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
[MLP]  디바이스: cuda (NVIDIA GeForce GTX 1660 SUPER)
[MLP]  구조: 21 → 256 → 128 → 64 → 32 → 2
[MLP]  에폭: 4000  배치: 64  LR: 1.00e-04  Dropout: 0.3
[MLP]  Early Stop: 비활성화
[MLP]  LR 스케줄러: patience=150  factor=0.8  min_lr=1e-6
[MLP]  검증 비율: 20%  분리 비율고정: 유지  분리 시드: 42
[MLP]  스케일러: StandardScaler  특징 모드: ESP32
[MLP]  사용 특징 (21개): SPECTRAL_ROLLOFF, SPECTRAL_BANDWIDTH, PEAK_COUNT, MID_RATIO, LOW_TO_HIGH_RATIO, SECOND_PEAK_FREQ, KURTOSIS, CENTROID, PEAK_FREQ, LOW_RATIO, RMS, AVG_ENERGY, PEAK_ENERGY, ENERGY_VARIANCE, PEAK_TO_AVG_E, HIGH_RATIO, PEAK1_TO_PEAK2_RATIO, SKEWNESS, DC_RATIO, DELTA_PEAK_FREQ, SPECTRAL_FLATNESS
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  에폭  33/4000 | 손실: 0.5407 | 검증손실: 0.5390 | 학습: 73.0% | 검증: 70.9% | lr: 1.00e-04 | 1.7s ★
  에폭  34/4000 | 손실: 0.5387 | 검증손실: 0.5388 | 학습: 73.4% | 검증: 70.7% | lr: 1.00e-04 | 1.7s
  에폭  35/4000 | 손실: 0.5382 | 검증손실: 0.5380 | 학습: 73.4% | 검증: 70.8% | lr: 1.00e-04 | 1.6s
  에폭  36/4000 | 손실: 0.5366 | 검증손실: 0.5351 | 학습: 73.8% | 검증: 70.6% | lr: 1.00e-04 | 1.6s
  에폭  37/4000 | 손실: 0.5354 | 검증손실: 0.5335 | 학습: 73.6% | 검증: 71.1% | lr: 1.00e-04 | 1.6s ★
  에폭  38/4000 | 손실: 0.5335 | 검증손실: 0.5314 | 학습: 73.8% | 검증: 71.1% | lr: 1.00e-04 | 1.6s ★
  에폭  39/4000 | 손실: 0.5330 | 검증손실: 0.5307 | 학습: 73.8% | 검증: 71.1% | lr: 1.00e-04 | 1.6s
  에폭  40/4000 | 손실: 0.5331 | 검증손실: 0.5271 | 학습: 74.3% | 검증: 71.4% | lr: 1.00e-04 | 1.6s ★
  에폭  41/4000 | 손실: 0.5350 | 검증손실: 0.5266 | 학습: 74.5% | 검증: 71.5% | lr: 1.00e-04 | 1.6s ★
  에폭  42/4000 | 손실: 0.5316 | 검증손실: 0.5275 | 학습: 74.6% | 검증: 72.2% | lr: 1.00e-04 | 1.6s ★
  에폭  43/4000 | 손실: 0.5278 | 검증손실: 0.5256 | 학습: 75.0% | 검증: 72.1% | lr: 1.00e-04 | 1.6s
  에폭  44/4000 | 손실: 0.5332 | 검증손실: 0.5264 | 학습: 74.7% | 검증: 71.9% | lr: 1.00e-04 | 1.6s
  에폭  45/4000 | 손실: 0.5283 | 검증손실: 0.5229 | 학습: 74.7% | 검증: 72.5% | lr: 1.00e-04 | 1.6s ★
  에폭  46/4000 | 손실: 0.5246 | 검증손실: 0.5238 | 학습: 75.2% | 검증: 72.3% | lr: 1.00e-04 | 1.6s
  에폭  47/4000 | 손실: 0.5240 | 검증손실: 0.5217 | 학습: 75.4% | 검증: 72.8% | lr: 1.00e-04 | 1.6s ★
  에폭  48/4000 | 손실: 0.5240 | 검증손실: 0.5196 | 학습: 75.2% | 검증: 72.4% | lr: 1.00e-04 | 1.6s
  에폭  49/4000 | 손실: 0.5247 | 검증손실: 0.5211 | 학습: 75.4% | 검증: 72.4% | lr: 1.00e-04 | 1.6s
