[MLP]   svm_data_20260507_133636.csv                       24741샘플
[MLP] CSV 로드  →  총 24741샘플
[MLP] 로드 완료 | 전체: 24741개  (배경: 12371, 사람: 12370)
[MLP] 특징 모드: ESP32 (14개)
[MLP] 학습: 19792개 (80%)  검증: 4949개 (20%)  [비율고정: 유지 | 분리시드: 42]
[MLP] 스케일러: StandardScaler (z-score)
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
[MLP]  디바이스: cpu
[MLP]  구조: 14 → 64 → 32 → 2
[MLP]  에폭: 2000  배치: 128  LR: 2.00e-03  Dropout: 0.2
[MLP]  Early Stop: 비활성화
[MLP]  LR 스케줄러: patience=50  factor=0.5  min_lr=1e-6
[MLP]  검증 비율: 20%  분리 비율고정: 유지  분리 시드: 42
[MLP]  스케일러: StandardScaler  특징 모드: ESP32
[MLP]  사용 특징 (14개): SPECTRAL_BANDWIDTH, PEAK_COUNT, MID_RATIO, SECOND_PEAK_FREQ, KURTOSIS, CENTROID, PEAK_FREQ, LOW_RATIO, RMS, PEAK_TO_AVG_E, HIGH_RATIO, PEAK1_TO_PEAK2_RATIO, SKEWNESS, SPECTRAL_FLATNESS
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  에폭   1/2000 | 손실: 0.6008 | 학습: 66.4% | 검증: 64.8% | lr: 2.00e-03 | 0.4s ★
  에폭   2/2000 | 손실: 0.5860 | 학습: 66.9% | 검증: 65.1% | lr: 2.00e-03 | 0.4s ★
  에폭   3/2000 | 손실: 0.5790 | 학습: 68.3% | 검증: 66.2% | lr: 2.00e-03 | 0.3s ★
  에폭   4/2000 | 손실: 0.5757 | 학습: 68.6% | 검증: 66.7% | lr: 2.00e-03 | 0.4s ★
  에폭   5/2000 | 손실: 0.5711 | 학습: 69.1% | 검증: 67.0% | lr: 2.00e-03 | 0.4s ★
  에폭   6/2000 | 손실: 0.5664 | 학습: 69.7% | 검증: 68.1% | lr: 2.00e-03 | 0.4s ★
  에폭   7/2000 | 손실: 0.5647 | 학습: 70.2% | 검증: 68.1% | lr: 2.00e-03 | 0.4s
  에폭   8/2000 | 손실: 0.5621 | 학습: 70.1% | 검증: 68.1% | lr: 2.00e-03 | 0.4s ★
  에폭   9/2000 | 손실: 0.5610 | 학습: 70.9% | 검증: 68.8% | lr: 2.00e-03 | 0.4s ★
  에폭  10/2000 | 손실: 0.5565 | 학습: 71.2% | 검증: 68.8% | lr: 2.00e-03 | 0.4s
  에폭  11/2000 | 손실: 0.5532 | 학습: 71.4% | 검증: 69.2% | lr: 2.00e-03 | 0.4s ★
  에폭  12/2000 | 손실: 0.5474 | 학습: 72.1% | 검증: 69.5% | lr: 2.00e-03 | 0.4s ★
  에폭  13/2000 | 손실: 0.5496 | 학습: 72.2% | 검증: 69.6% | lr: 2.00e-03 | 0.4s ★
  에폭  14/2000 | 손실: 0.5489 | 학습: 72.2% | 검증: 70.2% | lr: 2.00e-03 | 0.4s ★
  에폭  15/2000 | 손실: 0.5425 | 학습: 73.0% | 검증: 70.4% | lr: 2.00e-03 | 0.4s ★
  에폭  16/2000 | 손실: 0.5442 | 학습: 73.2% | 검증: 71.2% | lr: 2.00e-03 | 0.4s ★
  에폭  17/2000 | 손실: 0.5432 | 학습: 73.6% | 검증: 71.1% | lr: 2.00e-03 | 0.4s
  에폭  18/2000 | 손실: 0.5400 | 학습: 73.1% | 검증: 70.7% | lr: 2.00e-03 | 0.4s
  에폭  19/2000 | 손실: 0.5398 | 학습: 73.4% | 검증: 71.2% | lr: 2.00e-03 | 0.4s
  에폭  20/2000 | 손실: 0.5385 | 학습: 73.2% | 검증: 70.6% | lr: 2.00e-03 | 0.4s
  에폭  21/2000 | 손실: 0.5353 | 학습: 73.6% | 검증: 71.4% | lr: 2.00e-03 | 0.4s ★
  에폭  22/2000 | 손실: 0.5370 | 학습: 73.6% | 검증: 71.7% | lr: 2.00e-03 | 0.4s ★
  에폭  23/2000 | 손실: 0.5321 | 학습: 73.8% | 검증: 71.2% | lr: 2.00e-03 | 0.4s
  에폭  24/2000 | 손실: 0.5320 | 학습: 74.0% | 검증: 72.0% | lr: 2.00e-03 | 0.4s ★
  에폭  25/2000 | 손실: 0.5324 | 학습: 74.2% | 검증: 72.2% | lr: 2.00e-03 | 0.4s ★
  에폭  26/2000 | 손실: 0.5257 | 학습: 74.4% | 검증: 72.2% | lr: 2.00e-03 | 0.4s ★
  에폭  27/2000 | 손실: 0.5298 | 학습: 74.2% | 검증: 72.3% | lr: 2.00e-03 | 0.4s ★
  에폭  28/2000 | 손실: 0.5260 | 학습: 75.1% | 검증: 72.8% | lr: 2.00e-03 | 0.4s ★
  에폭  29/2000 | 손실: 0.5224 | 학습: 75.0% | 검증: 73.0% | lr: 2.00e-03 | 0.4s ★
  에폭  30/2000 | 손실: 0.5238 | 학습: 74.8% | 검증: 72.7% | lr: 2.00e-03 | 0.4s
  에폭  31/2000 | 손실: 0.5229 | 학습: 75.0% | 검증: 72.5% | lr: 2.00e-03 | 0.4s
  에폭  32/2000 | 손실: 0.5197 | 학습: 75.1% | 검증: 72.7% | lr: 2.00e-03 | 0.4s
  에폭  33/2000 | 손실: 0.5196 | 학습: 75.3% | 검증: 72.8% | lr: 2.00e-03 | 0.4s
  에폭  34/2000 | 손실: 0.5187 | 학습: 75.6% | 검증: 73.1% | lr: 2.00e-03 | 0.4s ★
  에폭  35/2000 | 손실: 0.5192 | 학습: 75.5% | 검증: 73.1% | lr: 2.00e-03 | 0.3s
  에폭  36/2000 | 손실: 0.5187 | 학습: 75.3% | 검증: 73.1% | lr: 2.00e-03 | 0.3s
  에폭  37/2000 | 손실: 0.5150 | 학습: 75.7% | 검증: 73.0% | lr: 2.00e-03 | 0.3s
  에폭  38/2000 | 손실: 0.5177 | 학습: 75.3% | 검증: 73.3% | lr: 2.00e-03 | 0.3s ★
  에폭  39/2000 | 손실: 0.5152 | 학습: 75.9% | 검증: 73.5% | lr: 2.00e-03 | 0.3s ★
  에폭  40/2000 | 손실: 0.5143 | 학습: 75.9% | 검증: 73.8% | lr: 2.00e-03 | 0.3s ★
  에폭  41/2000 | 손실: 0.5127 | 학습: 75.6% | 검증: 73.3% | lr: 2.00e-03 | 0.4s
  에폭  42/2000 | 손실: 0.5089 | 학습: 76.5% | 검증: 74.2% | lr: 2.00e-03 | 0.3s ★
  에폭  43/2000 | 손실: 0.5123 | 학습: 75.9% | 검증: 73.7% | lr: 2.00e-03 | 0.3s
  에폭  44/2000 | 손실: 0.5115 | 학습: 76.0% | 검증: 73.7% | lr: 2.00e-03 | 0.3s
  에폭  45/2000 | 손실: 0.5100 | 학습: 76.1% | 검증: 73.9% | lr: 2.00e-03 | 0.3s
  에폭  46/2000 | 손실: 0.5094 | 학습: 75.8% | 검증: 73.5% | lr: 2.00e-03 | 0.4s
  에폭  47/2000 | 손실: 0.5084 | 학습: 76.5% | 검증: 74.0% | lr: 2.00e-03 | 0.4s
  에폭  48/2000 | 손실: 0.5082 | 학습: 76.2% | 검증: 73.3% | lr: 2.00e-03 | 0.4s
  에폭  49/2000 | 손실: 0.5083 | 학습: 76.2% | 검증: 74.0% | lr: 2.00e-03 | 0.4s
  에폭  50/2000 | 손실: 0.5062 | 학습: 76.8% | 검증: 74.4% | lr: 2.00e-03 | 0.4s ★
  에폭  51/2000 | 손실: 0.5048 | 학습: 76.8% | 검증: 74.3% | lr: 2.00e-03 | 0.3s
  에폭  52/2000 | 손실: 0.5073 | 학습: 76.7% | 검증: 74.5% | lr: 2.00e-03 | 0.4s ★
  에폭  53/2000 | 손실: 0.5048 | 학습: 76.6% | 검증: 74.3% | lr: 2.00e-03 | 0.4s
  에폭  54/2000 | 손실: 0.5034 | 학습: 76.8% | 검증: 74.6% | lr: 2.00e-03 | 0.4s ★
  에폭  55/2000 | 손실: 0.5029 | 학습: 77.0% | 검증: 74.4% | lr: 2.00e-03 | 0.4s
  에폭  56/2000 | 손실: 0.5028 | 학습: 77.0% | 검증: 75.0% | lr: 2.00e-03 | 0.4s ★
  에폭  57/2000 | 손실: 0.5021 | 학습: 76.9% | 검증: 74.3% | lr: 2.00e-03 | 0.3s
  에폭  58/2000 | 손실: 0.5016 | 학습: 76.8% | 검증: 74.4% | lr: 2.00e-03 | 0.4s
  에폭  59/2000 | 손실: 0.4996 | 학습: 77.3% | 검증: 74.8% | lr: 2.00e-03 | 0.4s
  에폭  60/2000 | 손실: 0.4947 | 학습: 77.8% | 검증: 74.9% | lr: 2.00e-03 | 0.4s
  에폭  61/2000 | 손실: 0.4994 | 학습: 77.6% | 검증: 75.1% | lr: 2.00e-03 | 0.4s ★
  에폭  62/2000 | 손실: 0.4965 | 학습: 77.4% | 검증: 74.5% | lr: 2.00e-03 | 0.3s
  에폭  63/2000 | 손실: 0.5000 | 학습: 76.9% | 검증: 75.0% | lr: 2.00e-03 | 0.4s
  에폭  64/2000 | 손실: 0.4970 | 학습: 77.5% | 검증: 75.2% | lr: 2.00e-03 | 0.3s ★
  에폭  65/2000 | 손실: 0.4979 | 학습: 78.1% | 검증: 75.1% | lr: 2.00e-03 | 0.4s
