[MLP]   svm_data_20260507_133636.csv                       24741샘플
[MLP] CSV 로드  →  총 24741샘플
[MLP] 로드 완료 | 전체: 24741개  (배경: 12371, 사람: 12370)
[MLP] 특징 모드: ESP32 (21개)
[MLP] 학습: 19792개 (80%)  검증: 4949개 (20%)  [비율고정: 유지 | 분리시드: 42]
[MLP] 스케일러: StandardScaler (z-score)
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
[MLP]  디바이스: cpu
[MLP]  구조: 21 → 128 → 64 → 32 → 2
[MLP]  에폭: 1500  배치: 128  LR: 2.00e-03  Dropout: 0.2
[MLP]  Early Stop: 비활성화
[MLP]  LR 스케줄러: patience=50  factor=0.5  min_lr=1e-6
[MLP]  검증 비율: 20%  분리 비율고정: 유지  분리 시드: 42
[MLP]  스케일러: StandardScaler  특징 모드: ESP32
[MLP]  사용 특징 (21개): SPECTRAL_ROLLOFF, SPECTRAL_BANDWIDTH, PEAK_COUNT, MID_RATIO, LOW_TO_HIGH_RATIO, SECOND_PEAK_FREQ, KURTOSIS, CENTROID, PEAK_FREQ, LOW_RATIO, RMS, AVG_ENERGY, PEAK_ENERGY, ENERGY_VARIANCE, PEAK_TO_AVG_E, HIGH_RATIO, PEAK1_TO_PEAK2_RATIO, SKEWNESS, DC_RATIO, DELTA_PEAK_FREQ, SPECTRAL_FLATNESS
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  에폭   1/1500 | 손실: 0.5962 | 학습: 67.3% | 검증: 65.7% | lr: 2.00e-03 | 0.3s ★
  에폭   2/1500 | 손실: 0.5791 | 학습: 68.0% | 검증: 65.8% | lr: 2.00e-03 | 0.4s ★
  에폭   3/1500 | 손실: 0.5732 | 학습: 68.5% | 검증: 66.7% | lr: 2.00e-03 | 0.3s ★
  에폭   4/1500 | 손실: 0.5630 | 학습: 69.7% | 검증: 67.9% | lr: 2.00e-03 | 0.3s ★
  에폭   5/1500 | 손실: 0.5572 | 학습: 71.0% | 검증: 68.3% | lr: 2.00e-03 | 0.3s ★
  에폭   6/1500 | 손실: 0.5520 | 학습: 72.2% | 검증: 70.0% | lr: 2.00e-03 | 0.3s ★
  에폭   7/1500 | 손실: 0.5468 | 학습: 71.7% | 검증: 69.7% | lr: 2.00e-03 | 0.3s
  에폭   8/1500 | 손실: 0.5397 | 학습: 72.9% | 검증: 70.5% | lr: 2.00e-03 | 0.4s ★
  에폭   9/1500 | 손실: 0.5370 | 학습: 73.5% | 검증: 71.9% | lr: 2.00e-03 | 0.3s ★
  에폭  10/1500 | 손실: 0.5300 | 학습: 73.5% | 검증: 70.5% | lr: 2.00e-03 | 0.3s
  에폭  11/1500 | 손실: 0.5256 | 학습: 74.4% | 검증: 72.8% | lr: 2.00e-03 | 0.3s ★
  에폭  12/1500 | 손실: 0.5206 | 학습: 75.5% | 검증: 73.2% | lr: 2.00e-03 | 0.3s ★
  에폭  13/1500 | 손실: 0.5142 | 학습: 75.4% | 검증: 73.6% | lr: 2.00e-03 | 0.3s ★
  에폭  14/1500 | 손실: 0.5136 | 학습: 75.7% | 검증: 73.3% | lr: 2.00e-03 | 0.3s
  에폭  15/1500 | 손실: 0.5042 | 학습: 76.0% | 검증: 74.0% | lr: 2.00e-03 | 0.3s ★
  에폭  16/1500 | 손실: 0.5048 | 학습: 76.8% | 검증: 74.1% | lr: 2.00e-03 | 0.3s ★
  에폭  17/1500 | 손실: 0.5001 | 학습: 76.6% | 검증: 74.2% | lr: 2.00e-03 | 0.3s ★
  에폭  18/1500 | 손실: 0.4978 | 학습: 77.6% | 검증: 74.6% | lr: 2.00e-03 | 0.3s ★
  에폭  19/1500 | 손실: 0.4943 | 학습: 77.9% | 검증: 74.7% | lr: 2.00e-03 | 0.3s ★
  에폭  20/1500 | 손실: 0.4870 | 학습: 77.9% | 검증: 74.4% | lr: 2.00e-03 | 0.3s
  에폭  21/1500 | 손실: 0.4860 | 학습: 77.9% | 검증: 75.3% | lr: 2.00e-03 | 0.3s ★
  에폭  22/1500 | 손실: 0.4817 | 학습: 78.7% | 검증: 75.4% | lr: 2.00e-03 | 0.3s ★
  에폭  23/1500 | 손실: 0.4791 | 학습: 78.4% | 검증: 75.6% | lr: 2.00e-03 | 0.3s ★
  에폭  24/1500 | 손실: 0.4758 | 학습: 78.8% | 검증: 75.7% | lr: 2.00e-03 | 0.3s ★
  에폭  25/1500 | 손실: 0.4738 | 학습: 79.5% | 검증: 75.9% | lr: 2.00e-03 | 0.3s ★
  에폭  26/1500 | 손실: 0.4673 | 학습: 79.9% | 검증: 76.3% | lr: 2.00e-03 | 0.3s ★
  에폭  27/1500 | 손실: 0.4648 | 학습: 79.9% | 검증: 76.1% | lr: 2.00e-03 | 0.3s
  에폭  28/1500 | 손실: 0.4620 | 학습: 79.9% | 검증: 76.1% | lr: 2.00e-03 | 0.3s
  에폭  29/1500 | 손실: 0.4595 | 학습: 80.7% | 검증: 76.4% | lr: 2.00e-03 | 0.3s ★
  에폭  30/1500 | 손실: 0.4572 | 학습: 80.0% | 검증: 76.3% | lr: 2.00e-03 | 0.3s
  에폭  31/1500 | 손실: 0.4545 | 학습: 80.2% | 검증: 76.5% | lr: 2.00e-03 | 0.3s ★
  에폭  32/1500 | 손실: 0.4508 | 학습: 81.3% | 검증: 76.9% | lr: 2.00e-03 | 0.3s ★
  에폭  33/1500 | 손실: 0.4536 | 학습: 81.2% | 검증: 77.1% | lr: 2.00e-03 | 0.3s ★
  에폭  34/1500 | 손실: 0.4457 | 학습: 81.1% | 검증: 76.8% | lr: 2.00e-03 | 0.3s
  에폭  35/1500 | 손실: 0.4460 | 학습: 81.7% | 검증: 77.7% | lr: 2.00e-03 | 0.3s ★
  에폭  36/1500 | 손실: 0.4445 | 학습: 81.6% | 검증: 77.7% | lr: 2.00e-03 | 0.3s
  에폭  37/1500 | 손실: 0.4373 | 학습: 82.1% | 검증: 77.4% | lr: 2.00e-03 | 0.3s
  에폭  38/1500 | 손실: 0.4454 | 학습: 82.5% | 검증: 78.2% | lr: 2.00e-03 | 0.3s ★
  에폭  39/1500 | 손실: 0.4390 | 학습: 82.6% | 검증: 78.3% | lr: 2.00e-03 | 0.3s ★
  에폭  40/1500 | 손실: 0.4336 | 학습: 82.4% | 검증: 77.9% | lr: 2.00e-03 | 0.3s
  에폭  41/1500 | 손실: 0.4355 | 학습: 81.8% | 검증: 78.3% | lr: 2.00e-03 | 0.3s
  에폭  42/1500 | 손실: 0.4371 | 학습: 82.4% | 검증: 78.4% | lr: 2.00e-03 | 0.3s ★
  에폭  43/1500 | 손실: 0.4289 | 학습: 82.7% | 검증: 78.1% | lr: 2.00e-03 | 0.3s
  에폭  44/1500 | 손실: 0.4310 | 학습: 82.9% | 검증: 78.4% | lr: 2.00e-03 | 0.3s
  에폭  45/1500 | 손실: 0.4243 | 학습: 83.4% | 검증: 78.7% | lr: 2.00e-03 | 0.3s ★
  에폭  46/1500 | 손실: 0.4284 | 학습: 83.4% | 검증: 79.3% | lr: 2.00e-03 | 0.3s ★
  에폭  47/1500 | 손실: 0.4215 | 학습: 84.0% | 검증: 79.6% | lr: 2.00e-03 | 0.3s ★
  에폭  48/1500 | 손실: 0.4259 | 학습: 83.3% | 검증: 79.3% | lr: 2.00e-03 | 0.3s
  에폭  49/1500 | 손실: 0.4179 | 학습: 82.8% | 검증: 78.4% | lr: 2.00e-03 | 0.3s
  에폭  50/1500 | 손실: 0.4181 | 학습: 83.5% | 검증: 79.0% | lr: 2.00e-03 | 0.3s
