  에폭  40/1000 | 손실: 0.3777 | 학습: 84.0% | 검증: 83.5% | lr: 5.00e-05 ★
  에폭  41/1000 | 손실: 0.3758 | 학습: 84.0% | 검증: 83.5% | lr: 5.00e-05
  에폭  42/1000 | 손실: 0.3740 | 학습: 84.3% | 검증: 83.3% | lr: 5.00e-05
  에폭  43/1000 | 손실: 0.3736 | 학습: 84.3% | 검증: 83.3% | lr: 5.00e-05
  에폭  44/1000 | 손실: 0.3719 | 학습: 84.2% | 검증: 83.7% | lr: 5.00e-05 ★
  에폭  45/1000 | 손실: 0.3720 | 학습: 84.2% | 검증: 83.6% | lr: 5.00e-05
  에폭  46/1000 | 손실: 0.3733 | 학습: 84.3% | 검증: 83.8% | lr: 5.00e-05 ★
  에폭  47/1000 | 손실: 0.3696 | 학습: 84.6% | 검증: 83.8% | lr: 5.00e-05 ★
  에폭  48/1000 | 손실: 0.3726 | 학습: 84.2% | 검증: 83.8% | lr: 5.00e-05
  에폭  49/1000 | 손실: 0.3712 | 학습: 84.3% | 검증: 83.9% | lr: 5.00e-05 ★
  에폭  50/1000 | 손실: 0.3679 | 학습: 84.3% | 검증: 83.6% | lr: 5.00e-05
  에폭  51/1000 | 손실: 0.3709 | 학습: 84.5% | 검증: 84.1% | lr: 5.00e-05 ★
  에폭  52/1000 | 손실: 0.3658 | 학습: 84.4% | 검증: 84.0% | lr: 5.00e-05
  에폭  53/1000 | 손실: 0.3683 | 학습: 84.3% | 검증: 83.7% | lr: 5.00e-05
  에폭  54/1000 | 손실: 0.3696 | 학습: 84.5% | 검증: 84.2% | lr: 5.00e-05 ★
  에폭  55/1000 | 손실: 0.3695 | 학습: 84.6% | 검증: 84.3% | lr: 5.00e-05 ★
  에폭  56/1000 | 손실: 0.3663 | 학습: 84.7% | 검증: 84.6% | lr: 5.00e-05 ★
  에폭  57/1000 | 손실: 0.3665 | 학습: 84.5% | 검증: 84.0% | lr: 5.00e-05
  에폭  58/1000 | 손실: 0.3706 | 학습: 84.9% | 검증: 84.5% | lr: 5.00e-05
  에폭  59/1000 | 손실: 0.3697 | 학습: 84.6% | 검증: 83.8% | lr: 5.00e-05
  에폭  60/1000 | 손실: 0.3646 | 학습: 84.8% | 검증: 84.3% | lr: 5.00e-05
  에폭  61/1000 | 손실: 0.3670 | 학습: 84.6% | 검증: 84.1% | lr: 5.00e-05
  에폭  62/1000 | 손실: 0.3636 | 학습: 84.8% | 검증: 84.5% | lr: 5.00e-05
  에폭  63/1000 | 손실: 0.3653 | 학습: 84.8% | 검증: 84.3% | lr: 5.00e-05
  에폭  64/1000 | 손실: 0.3666 | 학습: 84.8% | 검증: 84.3% | lr: 5.00e-05
  에폭  65/1000 | 손실: 0.3650 | 학습: 84.7% | 검증: 84.3% | lr: 5.00e-05
  에폭  66/1000 | 손실: 0.3673 | 학습: 84.8% | 검증: 84.7% | lr: 5.00e-05 ★
  에폭  67/1000 | 손실: 0.3585 | 학습: 84.8% | 검증: 84.7% | lr: 5.00e-05 ★
  에폭  68/1000 | 손실: 0.3656 | 학습: 84.8% | 검증: 84.7% | lr: 5.00e-05
  에폭  69/1000 | 손실: 0.3638 | 학습: 84.8% | 검증: 84.3% | lr: 5.00e-05
  에폭  70/1000 | 손실: 0.3637 | 학습: 84.8% | 검증: 84.3% | lr: 5.00e-05
  에폭  71/1000 | 손실: 0.3614 | 학습: 85.0% | 검증: 84.6% | lr: 5.00e-05
  에폭  72/1000 | 손실: 0.3628 | 학습: 85.1% | 검증: 84.6% | lr: 5.00e-05
  에폭  73/1000 | 손실: 0.3635 | 학습: 85.0% | 검증: 84.7% | lr: 5.00e-05
  에폭  74/1000 | 손실: 0.3594 | 학습: 84.9% | 검증: 85.0% | lr: 5.00e-05 ★
  에폭  75/1000 | 손실: 0.3623 | 학습: 84.9% | 검증: 84.6% | lr: 5.00e-05
  에폭  76/1000 | 손실: 0.3610 | 학습: 84.7% | 검증: 84.3% | lr: 5.00e-05
  에폭  77/1000 | 손실: 0.3601 | 학습: 85.0% | 검증: 84.8% | lr: 5.00e-05
  에폭  78/1000 | 손실: 0.3609 | 학습: 84.8% | 검증: 84.4% | lr: 2.50e-05
  에폭  79/1000 | 손실: 0.3614 | 학습: 85.0% | 검증: 84.9% | lr: 2.50e-05
  에폭  80/1000 | 손실: 0.3608 | 학습: 85.1% | 검증: 85.1% | lr: 2.50e-05 ★
  에폭  81/1000 | 손실: 0.3605 | 학습: 85.0% | 검증: 84.9% | lr: 2.50e-05
  에폭  82/1000 | 손실: 0.3547 | 학습: 85.0% | 검증: 84.9% | lr: 2.50e-05
  에폭  83/1000 | 손실: 0.3580 | 학습: 85.0% | 검증: 84.7% | lr: 2.50e-05
  에폭  84/1000 | 손실: 0.3602 | 학습: 85.2% | 검증: 84.9% | lr: 2.50e-05
  에폭  85/1000 | 손실: 0.3536 | 학습: 85.2% | 검증: 84.9% | lr: 2.50e-05
  에폭  86/1000 | 손실: 0.3561 | 학습: 85.0% | 검증: 84.9% | lr: 2.50e-05
  에폭  87/1000 | 손실: 0.3549 | 학습: 85.2% | 검증: 84.7% | lr: 2.50e-05
  에폭  88/1000 | 손실: 0.3539 | 학습: 85.1% | 검증: 84.9% | lr: 2.50e-05
  에폭  89/1000 | 손실: 0.3549 | 학습: 85.2% | 검증: 84.9% | lr: 2.50e-05
  에폭  90/1000 | 손실: 0.3590 | 학습: 85.1% | 검증: 85.0% | lr: 2.50e-05
  에폭  91/1000 | 손실: 0.3563 | 학습: 85.1% | 검증: 84.6% | lr: 2.50e-05
  에폭  92/1000 | 손실: 0.3589 | 학습: 85.0% | 검증: 84.6% | lr: 2.50e-05
  에폭  93/1000 | 손실: 0.3615 | 학습: 84.8% | 검증: 84.3% | lr: 2.50e-05
  에폭  94/1000 | 손실: 0.3589 | 학습: 85.0% | 검증: 85.1% | lr: 2.50e-05 ★
  에폭  95/1000 | 손실: 0.3589 | 학습: 85.2% | 검증: 84.8% | lr: 2.50e-05
  에폭  96/1000 | 손실: 0.3591 | 학습: 85.2% | 검증: 84.6% | lr: 1.25e-05
  에폭  97/1000 | 손실: 0.3553 | 학습: 85.1% | 검증: 84.7% | lr: 1.25e-05
  에폭  98/1000 | 손실: 0.3592 | 학습: 85.3% | 검증: 85.1% | lr: 1.25e-05
  에폭  99/1000 | 손실: 0.3561 | 학습: 85.3% | 검증: 85.1% | lr: 1.25e-05
  에폭 100/1000 | 손실: 0.3565 | 학습: 85.2% | 검증: 85.0% | lr: 1.25e-05
  에폭 101/1000 | 손실: 0.3530 | 학습: 85.2% | 검증: 84.6% | lr: 1.25e-05
  에폭 102/1000 | 손실: 0.3538 | 학습: 84.9% | 검증: 84.7% | lr: 1.25e-05
  에폭 103/1000 | 손실: 0.3540 | 학습: 85.1% | 검증: 84.6% | lr: 1.25e-05
  에폭 104/1000 | 손실: 0.3541 | 학습: 85.1% | 검증: 84.6% | lr: 1.25e-05
  에폭 105/1000 | 손실: 0.3543 | 학습: 85.2% | 검증: 85.0% | lr: 1.25e-05
  에폭 106/1000 | 손실: 0.3559 | 학습: 85.3% | 검증: 85.0% | lr: 1.25e-05
  에폭 107/1000 | 손실: 0.3536 | 학습: 85.3% | 검증: 84.9% | lr: 1.25e-05
  에폭 108/1000 | 손실: 0.3563 | 학습: 85.2% | 검증: 85.2% | lr: 1.25e-05 ★
  에폭 109/1000 | 손실: 0.3556 | 학습: 85.0% | 검증: 84.9% | lr: 1.25e-05
  에폭 110/1000 | 손실: 0.3584 | 학습: 85.0% | 검증: 84.5% | lr: 1.25e-05
  에폭 111/1000 | 손실: 0.3546 | 학습: 85.2% | 검증: 84.9% | lr: 1.25e-05
  에폭 112/1000 | 손실: 0.3543 | 학습: 85.1% | 검증: 84.4% | lr: 6.25e-06
  에폭 113/1000 | 손실: 0.3556 | 학습: 85.1% | 검증: 84.9% | lr: 6.25e-06
  에폭 114/1000 | 손실: 0.3545 | 학습: 85.2% | 검증: 84.7% | lr: 6.25e-06
  에폭 115/1000 | 손실: 0.3567 | 학습: 85.3% | 검증: 84.9% | lr: 6.25e-06
  에폭 116/1000 | 손실: 0.3522 | 학습: 85.2% | 검증: 85.0% | lr: 6.25e-06
  에폭 117/1000 | 손실: 0.3558 | 학습: 85.1% | 검증: 84.7% | lr: 6.25e-06
  에폭 118/1000 | 손실: 0.3524 | 학습: 85.2% | 검증: 84.9% | lr: 6.25e-06
  에폭 119/1000 | 손실: 0.3524 | 학습: 85.4% | 검증: 85.0% | lr: 6.25e-06
  에폭 120/1000 | 손실: 0.3576 | 학습: 85.3% | 검증: 85.1% | lr: 6.25e-06
  에폭 121/1000 | 손실: 0.3579 | 학습: 85.3% | 검증: 85.0% | lr: 6.25e-06
  에폭 122/1000 | 손실: 0.3541 | 학습: 85.3% | 검증: 85.2% | lr: 6.25e-06
  에폭 123/1000 | 손실: 0.3530 | 학습: 85.3% | 검증: 85.0% | lr: 6.25e-06
  에폭 124/1000 | 손실: 0.3546 | 학습: 85.3% | 검증: 85.1% | lr: 6.25e-06
  에폭 125/1000 | 손실: 0.3592 | 학습: 85.0% | 검증: 84.7% | lr: 6.25e-06
  에폭 126/1000 | 손실: 0.3499 | 학습: 85.1% | 검증: 85.2% | lr: 6.25e-06
  에폭 127/1000 | 손실: 0.3566 | 학습: 85.2% | 검증: 85.1% | lr: 6.25e-06
  에폭 128/1000 | 손실: 0.3541 | 학습: 85.1% | 검증: 85.1% | lr: 6.25e-06
  에폭 129/1000 | 손실: 0.3525 | 학습: 85.4% | 검증: 85.0% | lr: 6.25e-06
  에폭 130/1000 | 손실: 0.3531 | 학습: 85.1% | 검증: 84.8% | lr: 6.25e-06
  에폭 131/1000 | 손실: 0.3516 | 학습: 85.2% | 검증: 84.9% | lr: 6.25e-06
  에폭 132/1000 | 손실: 0.3567 | 학습: 85.3% | 검증: 85.1% | lr: 6.25e-06
  에폭 133/1000 | 손실: 0.3538 | 학습: 85.2% | 검증: 84.9% | lr: 6.25e-06
  에폭 134/1000 | 손실: 0.3550 | 학습: 85.2% | 검증: 84.9% | lr: 6.25e-06
  에폭 135/1000 | 손실: 0.3575 | 학습: 85.2% | 검증: 84.4% | lr: 6.25e-06
  에폭 136/1000 | 손실: 0.3515 | 학습: 85.3% | 검증: 85.3% | lr: 6.25e-06 ★
  에폭 137/1000 | 손실: 0.3522 | 학습: 85.2% | 검증: 85.1% | lr: 3.13e-06
