[MLP]   svm_data_20260507_133636.csv                       24741샘플
[MLP] CSV 로드  →  총 24741샘플
[MLP] 로드 완료 | 전체: 24741개  (배경: 12371, 사람: 12370)
[MLP] 특징 모드: ESP32 (21개)
[MLP] 학습: 19792개 (80%)  검증: 4949개 (20%)  [비율고정: 유지 | 분리시드: 42]
[MLP] 스케일러: StandardScaler (z-score)
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
[MLP]  디바이스: cpu
[MLP]  구조: 21 → 128 → 64 → 32 → 2
[MLP]  에폭: 1500  배치: 256  LR: 2.00e-03  Dropout: 0.2
[MLP]  Early Stop: 비활성화
[MLP]  LR 스케줄러: patience=50  factor=0.5  min_lr=1e-6
[MLP]  검증 비율: 20%  분리 비율고정: 유지  분리 시드: 42
[MLP]  스케일러: StandardScaler  특징 모드: ESP32
[MLP]  사용 특징 (21개): SPECTRAL_ROLLOFF, SPECTRAL_BANDWIDTH, PEAK_COUNT, MID_RATIO, LOW_TO_HIGH_RATIO, SECOND_PEAK_FREQ, KURTOSIS, CENTROID, PEAK_FREQ, LOW_RATIO, RMS, AVG_ENERGY, PEAK_ENERGY, ENERGY_VARIANCE, PEAK_TO_AVG_E, HIGH_RATIO, PEAK1_TO_PEAK2_RATIO, SKEWNESS, DC_RATIO, DELTA_PEAK_FREQ, SPECTRAL_FLATNESS
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  에폭   1/1500 | 손실: 0.6020 | 학습: 66.9% | 검증: 65.2% | lr: 2.00e-03 | 0.2s ★
  에폭   2/1500 | 손실: 0.5800 | 학습: 68.0% | 검증: 66.9% | lr: 2.00e-03 | 0.3s ★
  에폭   3/1500 | 손실: 0.5724 | 학습: 69.0% | 검증: 67.0% | lr: 2.00e-03 | 0.3s ★
  에폭   4/1500 | 손실: 0.5675 | 학습: 69.8% | 검증: 67.7% | lr: 2.00e-03 | 0.2s ★
  에폭   5/1500 | 손실: 0.5614 | 학습: 70.3% | 검증: 68.6% | lr: 2.00e-03 | 0.3s ★
  에폭   6/1500 | 손실: 0.5522 | 학습: 70.8% | 검증: 67.9% | lr: 2.00e-03 | 0.2s
  에폭   7/1500 | 손실: 0.5467 | 학습: 71.6% | 검증: 69.6% | lr: 2.00e-03 | 0.2s ★
  에폭   8/1500 | 손실: 0.5466 | 학습: 72.1% | 검증: 69.1% | lr: 2.00e-03 | 0.2s
  에폭   9/1500 | 손실: 0.5370 | 학습: 73.3% | 검증: 70.7% | lr: 2.00e-03 | 0.3s ★
  에폭  10/1500 | 손실: 0.5307 | 학습: 72.3% | 검증: 70.6% | lr: 2.00e-03 | 0.2s
  에폭  11/1500 | 손실: 0.5278 | 학습: 74.4% | 검증: 72.6% | lr: 2.00e-03 | 0.2s ★
  에폭  12/1500 | 손실: 0.5242 | 학습: 74.6% | 검증: 72.0% | lr: 2.00e-03 | 0.2s
  에폭  13/1500 | 손실: 0.5159 | 학습: 75.5% | 검증: 72.9% | lr: 2.00e-03 | 0.2s ★
  에폭  14/1500 | 손실: 0.5150 | 학습: 75.7% | 검증: 72.4% | lr: 2.00e-03 | 0.3s
  에폭  15/1500 | 손실: 0.5076 | 학습: 75.7% | 검증: 72.3% | lr: 2.00e-03 | 0.2s
  에폭  16/1500 | 손실: 0.5065 | 학습: 77.1% | 검증: 73.7% | lr: 2.00e-03 | 0.3s ★
  에폭  17/1500 | 손실: 0.5032 | 학습: 77.2% | 검증: 73.4% | lr: 2.00e-03 | 0.3s
  에폭  18/1500 | 손실: 0.4974 | 학습: 77.3% | 검증: 74.1% | lr: 2.00e-03 | 0.2s ★
  에폭  19/1500 | 손실: 0.4941 | 학습: 77.8% | 검증: 74.5% | lr: 2.00e-03 | 0.3s ★
  에폭  20/1500 | 손실: 0.4880 | 학습: 78.2% | 검증: 74.5% | lr: 2.00e-03 | 0.2s ★
  에폭  21/1500 | 손실: 0.4864 | 학습: 78.0% | 검증: 74.5% | lr: 2.00e-03 | 0.2s
  에폭  22/1500 | 손실: 0.4838 | 학습: 78.5% | 검증: 75.1% | lr: 2.00e-03 | 0.2s ★
  에폭  23/1500 | 손실: 0.4815 | 학습: 79.2% | 검증: 75.7% | lr: 2.00e-03 | 0.3s ★
  에폭  24/1500 | 손실: 0.4758 | 학습: 79.3% | 검증: 76.4% | lr: 2.00e-03 | 0.2s ★
