[MLP]   svm_data_20260507_133636.csv                       24741샘플
[MLP] CSV 로드  →  총 24741샘플
[MLP] 로드 완료 | 전체: 24741개  (배경: 12371, 사람: 12370)
[MLP] 특징 모드: PC-ADC재계산 (25개)
[MLP] 학습: 19792개 (80%)  검증: 4949개 (20%)  [비율고정: 유지 | 분리시드: 42]
[MLP] 스케일러: StandardScaler (z-score)
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
[MLP]  디바이스: cpu
[MLP]  구조: 25 → 64 → 32 → 2
[MLP]  에폭: 300  배치: 8  LR: 1e-03  Dropout: 0.3  Early Stop: 비활성화
[MLP]  사용 특징 (25개): magnitudes_1, magnitudes_2, magnitudes_3, magnitudes_4, magnitudes_5, magnitudes_6, magnitudes_7, magnitudes_8, magnitudes_9, magnitudes_10, magnitudes_11, magnitudes_12, magnitudes_13, magnitudes_14, magnitudes_15, peak_freq, peak_mag, std_mag, centroid, low_energy, mid_energy, rms, low_ratio, spectral_entropy, peak_to_mean
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  에폭  45/300 | 손실: 0.5499 | 학습: 63.6% | 검증: 62.7% | lr: 1.00e-03 | 2.6s
  에폭  46/300 | 손실: 0.5482 | 학습: 62.8% | 검증: 62.1% | lr: 1.00e-03 | 2.6s
  에폭  47/300 | 손실: 0.5506 | 학습: 69.2% | 검증: 68.5% | lr: 1.00e-03 | 2.6s
  에폭  48/300 | 손실: 0.5481 | 학습: 66.5% | 검증: 66.4% | lr: 1.00e-03 | 2.6s
  에폭  49/300 | 손실: 0.5499 | 학습: 68.2% | 검증: 67.5% | lr: 1.00e-03 | 2.6s
  에폭  50/300 | 손실: 0.5477 | 학습: 65.0% | 검증: 65.1% | lr: 1.00e-03 | 2.6s
  에폭  51/300 | 손실: 0.5490 | 학습: 66.8% | 검증: 66.1% | lr: 1.00e-03 | 2.6s
  에폭  52/300 | 손실: 0.5494 | 학습: 59.5% | 검증: 59.4% | lr: 1.00e-03 | 2.6s
  에폭  53/300 | 손실: 0.5518 | 학습: 61.5% | 검증: 61.9% | lr: 1.00e-03 | 2.6s
  에폭  54/300 | 손실: 0.5485 | 학습: 63.5% | 검증: 62.9% | lr: 1.00e-03 | 2.6s
  에폭  55/300 | 손실: 0.5491 | 학습: 63.7% | 검증: 63.9% | lr: 1.00e-03 | 2.6s
  에폭  56/300 | 손실: 0.5466 | 학습: 66.1% | 검증: 65.2% | lr: 1.00e-03 | 2.6s
  에폭  57/300 | 손실: 0.5461 | 학습: 64.5% | 검증: 65.0% | lr: 1.00e-03 | 2.6s
  에폭  58/300 | 손실: 0.5503 | 학습: 67.3% | 검증: 66.2% | lr: 1.00e-03 | 2.6s
  에폭  59/300 | 손실: 0.5432 | 학습: 72.7% | 검증: 71.4% | lr: 1.00e-03 | 2.6s ★
  에폭  60/300 | 손실: 0.5465 | 학습: 63.2% | 검증: 62.8% | lr: 1.00e-03 | 2.6s
  에폭  61/300 | 손실: 0.5485 | 학습: 71.3% | 검증: 70.6% | lr: 1.00e-03 | 2.6s
  에폭  62/300 | 손실: 0.5425 | 학습: 69.4% | 검증: 67.6% | lr: 1.00e-03 | 2.6s
  에폭  63/300 | 손실: 0.5417 | 학습: 71.1% | 검증: 70.2% | lr: 1.00e-03 | 2.6s
  에폭  64/300 | 손실: 0.5417 | 학습: 66.2% | 검증: 65.1% | lr: 1.00e-03 | 2.6s
  에폭  65/300 | 손실: 0.5438 | 학습: 65.9% | 검증: 64.1% | lr: 1.00e-03 | 2.6s
  에폭  66/300 | 손실: 0.5419 | 학습: 64.1% | 검증: 63.4% | lr: 1.00e-03 | 2.6s
  에폭  67/300 | 손실: 0.5435 | 학습: 60.8% | 검증: 61.0% | lr: 1.00e-03 | 2.6s
  에폭  68/300 | 손실: 0.5462 | 학습: 69.3% | 검증: 68.9% | lr: 1.00e-03 | 2.6s
  에폭  69/300 | 손실: 0.5445 | 학습: 61.3% | 검증: 60.9% | lr: 1.00e-03 | 2.6s
  에폭  70/300 | 손실: 0.5383 | 학습: 68.3% | 검증: 67.7% | lr: 1.00e-03 | 2.6s
  에폭  71/300 | 손실: 0.5475 | 학습: 66.3% | 검증: 65.3% | lr: 1.00e-03 | 2.6s
  에폭  72/300 | 손실: 0.5415 | 학습: 67.3% | 검증: 65.9% | lr: 1.00e-03 | 2.6s
  에폭  73/300 | 손실: 0.5411 | 학습: 64.1% | 검증: 62.4% | lr: 1.00e-03 | 2.6s
  에폭  74/300 | 손실: 0.5435 | 학습: 64.5% | 검증: 63.5% | lr: 1.00e-03 | 2.6s
  에폭  75/300 | 손실: 0.5400 | 학습: 69.9% | 검증: 69.0% | lr: 1.00e-03 | 2.6s
