[MLP]   svm_data_20260428_164908_W256_S32_I1.csv            529샘플
[MLP]   svm_data_20260428_171251_W256_S32_I1.csv             10샘플
[MLP]   svm_data_20260428_171310_W256_S32_I1.csv            964샘플
[MLP]   svm_data_20260429_104801_W256_S32_I1.csv            170샘플
[MLP]   svm_data_20260429_112044_W256_S1_I1.csv             287샘플
[MLP]   svm_data_20260429_121425.csv                          1샘플
[MLP] CSV 6개 병합  →  총 1961샘플
[MLP] 로드 완료 | 전체: 1961개  (배경: 997, 사람: 964)
[MLP] 특징 모드: PC 재계산 (25개)
[MLP] 학습: 1568개 (80%)  검증: 393개 (20%)  [비율고정: 유지 | 분리시드: 42]
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
[MLP]  디바이스: cpu
[MLP]  구조: 25 → 128 → 64 → 32 → 2
[MLP]  에폭: 300  배치: 32  LR: 5e-04  Dropout: 0.3  Early Stop: 비활성화
[MLP]  사용 특징 (25개): magnitudes_1, magnitudes_2, magnitudes_3, magnitudes_4, magnitudes_5, magnitudes_6, magnitudes_7, magnitudes_8, magnitudes_9, magnitudes_10, magnitudes_11, magnitudes_12, magnitudes_13, magnitudes_14, magnitudes_15, peak_freq, peak_mag, std_mag, centroid, low_energy, mid_energy, rms, low_ratio, spectral_entropy, peak_to_mean
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  에폭  47/300 | 손실: 0.4227 | 학습: 80.2% | 검증: 77.6% | lr: 5.00e-04
  에폭  48/300 | 손실: 0.4093 | 학습: 81.1% | 검증: 77.9% | lr: 5.00e-04 ★
  에폭  49/300 | 손실: 0.4109 | 학습: 81.1% | 검증: 77.6% | lr: 5.00e-04
  에폭  50/300 | 손실: 0.4127 | 학습: 82.0% | 검증: 77.4% | lr: 5.00e-04
  에폭  51/300 | 손실: 0.3951 | 학습: 82.8% | 검증: 78.6% | lr: 5.00e-04 ★
  에폭  52/300 | 손실: 0.4148 | 학습: 80.7% | 검증: 75.3% | lr: 5.00e-04
  에폭  53/300 | 손실: 0.4089 | 학습: 81.6% | 검증: 76.3% | lr: 5.00e-04
  에폭  54/300 | 손실: 0.4023 | 학습: 82.1% | 검증: 77.9% | lr: 5.00e-04
  에폭  55/300 | 손실: 0.4113 | 학습: 81.3% | 검증: 77.6% | lr: 5.00e-04
  에폭  56/300 | 손실: 0.4099 | 학습: 82.0% | 검증: 77.1% | lr: 5.00e-04
  에폭  57/300 | 손실: 0.3996 | 학습: 80.4% | 검증: 79.1% | lr: 5.00e-04 ★
  에폭  58/300 | 손실: 0.4039 | 학습: 82.8% | 검증: 76.6% | lr: 5.00e-04
  에폭  59/300 | 손실: 0.4000 | 학습: 83.7% | 검증: 77.1% | lr: 5.00e-04
  에폭  60/300 | 손실: 0.4064 | 학습: 80.9% | 검증: 76.6% | lr: 5.00e-04
  에폭  61/300 | 손실: 0.4055 | 학습: 83.8% | 검증: 78.4% | lr: 5.00e-04
  에폭  62/300 | 손실: 0.3996 | 학습: 82.8% | 검증: 78.6% | lr: 2.50e-04
  에폭  63/300 | 손실: 0.4042 | 학습: 83.5% | 검증: 79.9% | lr: 2.50e-04 ★
  에폭  64/300 | 손실: 0.3841 | 학습: 83.5% | 검증: 79.4% | lr: 2.50e-04
  에폭  65/300 | 손실: 0.3881 | 학습: 82.8% | 검증: 78.1% | lr: 2.50e-04
  에폭  66/300 | 손실: 0.3951 | 학습: 84.3% | 검증: 77.4% | lr: 2.50e-04
  에폭  67/300 | 손실: 0.3845 | 학습: 83.4% | 검증: 77.9% | lr: 2.50e-04
  에폭  68/300 | 손실: 0.3898 | 학습: 83.4% | 검증: 78.4% | lr: 2.50e-04
  에폭  69/300 | 손실: 0.3863 | 학습: 83.0% | 검증: 78.9% | lr: 2.50e-04
  에폭  70/300 | 손실: 0.3819 | 학습: 83.3% | 검증: 78.4% | lr: 2.50e-04
  에폭  71/300 | 손실: 0.3657 | 학습: 84.1% | 검증: 78.4% | lr: 2.50e-04
  에폭  72/300 | 손실: 0.3835 | 학습: 83.3% | 검증: 78.4% | lr: 2.50e-04
  에폭  73/300 | 손실: 0.3971 | 학습: 84.8% | 검증: 76.6% | lr: 2.50e-04
  에폭  74/300 | 손실: 0.3713 | 학습: 84.4% | 검증: 77.4% | lr: 2.50e-04
  에폭  75/300 | 손실: 0.3776 | 학습: 84.1% | 검증: 77.9% | lr: 2.50e-04
  에폭  76/300 | 손실: 0.3806 | 학습: 84.3% | 검증: 76.8% | lr: 2.50e-04
  에폭  77/300 | 손실: 0.3923 | 학습: 84.5% | 검증: 77.9% | lr: 2.50e-04
  에폭  78/300 | 손실: 0.3691 | 학습: 85.7% | 검증: 78.4% | lr: 2.50e-04
  에폭  79/300 | 손실: 0.3766 | 학습: 83.9% | 검증: 77.4% | lr: 2.50e-04
  에폭  80/300 | 손실: 0.3743 | 학습: 84.8% | 검증: 77.6% | lr: 2.50e-04
  에폭  81/300 | 손실: 0.3659 | 학습: 84.9% | 검증: 77.6% | lr: 2.50e-04
  에폭  82/300 | 손실: 0.3632 | 학습: 85.7% | 검증: 78.6% | lr: 2.50e-04
  에폭  83/300 | 손실: 0.3810 | 학습: 85.0% | 검증: 77.9% | lr: 2.50e-04
  에폭  84/300 | 손실: 0.3894 | 학습: 83.2% | 검증: 77.6% | lr: 2.50e-04
  에폭  85/300 | 손실: 0.3653 | 학습: 85.8% | 검증: 79.4% | lr: 2.50e-04
  에폭  86/300 | 손실: 0.3664 | 학습: 83.6% | 검증: 78.9% | lr: 2.50e-04
  에폭  87/300 | 손실: 0.3661 | 학습: 86.0% | 검증: 78.4% | lr: 2.50e-04
  에폭  88/300 | 손실: 0.3736 | 학습: 85.6% | 검증: 79.1% | lr: 2.50e-04
  에폭  89/300 | 손실: 0.3696 | 학습: 84.3% | 검증: 78.4% | lr: 2.50e-04
  에폭  90/300 | 손실: 0.3717 | 학습: 85.8% | 검증: 79.6% | lr: 2.50e-04
  에폭  91/300 | 손실: 0.3550 | 학습: 85.8% | 검증: 79.6% | lr: 2.50e-04
  에폭  92/300 | 손실: 0.3745 | 학습: 85.8% | 검증: 78.4% | lr: 2.50e-04
  에폭  93/300 | 손실: 0.3541 | 학습: 86.5% | 검증: 79.6% | lr: 2.50e-04
  에폭  94/300 | 손실: 0.3586 | 학습: 85.1% | 검증: 78.4% | lr: 2.50e-04
  에폭  95/300 | 손실: 0.3742 | 학습: 86.9% | 검증: 79.9% | lr: 2.50e-04
  에폭  96/300 | 손실: 0.3667 | 학습: 87.0% | 검증: 80.7% | lr: 2.50e-04 ★
  에폭  97/300 | 손실: 0.3634 | 학습: 86.5% | 검증: 78.6% | lr: 2.50e-04
  에폭  98/300 | 손실: 0.3612 | 학습: 87.2% | 검증: 79.6% | lr: 2.50e-04
  에폭  99/300 | 손실: 0.3576 | 학습: 85.6% | 검증: 80.4% | lr: 2.50e-04
  에폭 100/300 | 손실: 0.3573 | 학습: 86.7% | 검증: 79.6% | lr: 2.50e-04
  에폭 101/300 | 손실: 0.3604 | 학습: 87.4% | 검증: 80.2% | lr: 2.50e-04
  에폭 102/300 | 손실: 0.3515 | 학습: 85.8% | 검증: 80.4% | lr: 2.50e-04
  에폭 103/300 | 손실: 0.3582 | 학습: 86.8% | 검증: 80.2% | lr: 2.50e-04
  에폭 104/300 | 손실: 0.3599 | 학습: 86.9% | 검증: 78.9% | lr: 2.50e-04
  에폭 105/300 | 손실: 0.3568 | 학습: 86.4% | 검증: 80.4% | lr: 2.50e-04
  에폭 106/300 | 손실: 0.3519 | 학습: 87.2% | 검증: 78.9% | lr: 2.50e-04
  에폭 107/300 | 손실: 0.3523 | 학습: 87.6% | 검증: 79.6% | lr: 2.50e-04
  에폭 108/300 | 손실: 0.3511 | 학습: 87.4% | 검증: 77.9% | lr: 2.50e-04
  에폭 109/300 | 손실: 0.3573 | 학습: 86.3% | 검증: 80.2% | lr: 2.50e-04
  에폭 110/300 | 손실: 0.3633 | 학습: 86.4% | 검증: 79.6% | lr: 2.50e-04
  에폭 111/300 | 손실: 0.3552 | 학습: 85.8% | 검증: 79.9% | lr: 2.50e-04
  에폭 112/300 | 손실: 0.3471 | 학습: 87.5% | 검증: 78.6% | lr: 2.50e-04
  에폭 113/300 | 손실: 0.3612 | 학습: 87.1% | 검증: 78.4% | lr: 2.50e-04
  에폭 114/300 | 손실: 0.3640 | 학습: 87.1% | 검증: 79.1% | lr: 2.50e-04
  에폭 115/300 | 손실: 0.3596 | 학습: 85.8% | 검증: 79.6% | lr: 2.50e-04
  에폭 116/300 | 손실: 0.3575 | 학습: 86.0% | 검증: 80.7% | lr: 2.50e-04
  에폭 117/300 | 손실: 0.3459 | 학습: 87.6% | 검증: 79.6% | lr: 2.50e-04
  에폭 118/300 | 손실: 0.3510 | 학습: 86.5% | 검증: 79.4% | lr: 2.50e-04
  에폭 119/300 | 손실: 0.3354 | 학습: 87.5% | 검증: 79.9% | lr: 2.50e-04
  에폭 120/300 | 손실: 0.3603 | 학습: 88.3% | 검증: 78.4% | lr: 2.50e-04
  에폭 121/300 | 손실: 0.3608 | 학습: 86.8% | 검증: 80.4% | lr: 2.50e-04
  에폭 122/300 | 손실: 0.3432 | 학습: 87.0% | 검증: 79.4% | lr: 2.50e-04
  에폭 123/300 | 손실: 0.3677 | 학습: 88.1% | 검증: 79.4% | lr: 2.50e-04
  에폭 124/300 | 손실: 0.3432 | 학습: 87.0% | 검증: 78.6% | lr: 2.50e-04
  에폭 125/300 | 손실: 0.3469 | 학습: 88.8% | 검증: 79.1% | lr: 2.50e-04
  에폭 126/300 | 손실: 0.3347 | 학습: 87.5% | 검증: 80.7% | lr: 2.50e-04
  에폭 127/300 | 손실: 0.3390 | 학습: 88.8% | 검증: 79.1% | lr: 2.50e-04
  에폭 128/300 | 손실: 0.3445 | 학습: 88.0% | 검증: 79.6% | lr: 2.50e-04
  에폭 129/300 | 손실: 0.3479 | 학습: 88.9% | 검증: 79.4% | lr: 2.50e-04
  에폭 130/300 | 손실: 0.3463 | 학습: 88.5% | 검증: 80.4% | lr: 2.50e-04
  에폭 131/300 | 손실: 0.3311 | 학습: 88.7% | 검증: 79.6% | lr: 2.50e-04
  에폭 132/300 | 손실: 0.3363 | 학습: 88.5% | 검증: 80.7% | lr: 2.50e-04
  에폭 133/300 | 손실: 0.3597 | 학습: 87.7% | 검증: 79.4% | lr: 2.50e-04
  에폭 134/300 | 손실: 0.3398 | 학습: 88.1% | 검증: 80.7% | lr: 2.50e-04
  에폭 135/300 | 손실: 0.3507 | 학습: 89.3% | 검증: 79.1% | lr: 2.50e-04
  에폭 136/300 | 손실: 0.3432 | 학습: 88.8% | 검증: 78.9% | lr: 2.50e-04
  에폭 137/300 | 손실: 0.3421 | 학습: 89.2% | 검증: 79.1% | lr: 2.50e-04
  에폭 138/300 | 손실: 0.3507 | 학습: 86.5% | 검증: 78.4% | lr: 2.50e-04
  에폭 139/300 | 손실: 0.3496 | 학습: 88.4% | 검증: 79.6% | lr: 2.50e-04
  에폭 140/300 | 손실: 0.3348 | 학습: 88.6% | 검증: 79.1% | lr: 2.50e-04
  에폭 141/300 | 손실: 0.3446 | 학습: 89.2% | 검증: 79.6% | lr: 2.50e-04
  에폭 142/300 | 손실: 0.3379 | 학습: 89.5% | 검증: 80.9% | lr: 1.25e-04 ★
  에폭 143/300 | 손실: 0.3361 | 학습: 88.5% | 검증: 79.1% | lr: 1.25e-04
  에폭 144/300 | 손실: 0.3286 | 학습: 89.1% | 검증: 81.2% | lr: 1.25e-04 ★
  에폭 145/300 | 손실: 0.3360 | 학습: 88.0% | 검증: 80.4% | lr: 1.25e-04
  에폭 146/300 | 손실: 0.3421 | 학습: 88.4% | 검증: 80.4% | lr: 1.25e-04
  에폭 147/300 | 손실: 0.3306 | 학습: 88.3% | 검증: 80.7% | lr: 1.25e-04
  에폭 148/300 | 손실: 0.3336 | 학습: 90.2% | 검증: 81.4% | lr: 1.25e-04 ★
  에폭 149/300 | 손실: 0.3365 | 학습: 89.2% | 검증: 81.7% | lr: 1.25e-04 ★
  에폭 150/300 | 손실: 0.3340 | 학습: 88.2% | 검증: 80.7% | lr: 1.25e-04
  에폭 151/300 | 손실: 0.3314 | 학습: 89.2% | 검증: 80.2% | lr: 1.25e-04
  에폭 152/300 | 손실: 0.3386 | 학습: 90.4% | 검증: 81.2% | lr: 1.25e-04
  에폭 153/300 | 손실: 0.3093 | 학습: 88.6% | 검증: 80.7% | lr: 1.25e-04
  에폭 154/300 | 손실: 0.3172 | 학습: 89.1% | 검증: 80.7% | lr: 1.25e-04
  에폭 155/300 | 손실: 0.3478 | 학습: 90.0% | 검증: 80.9% | lr: 1.25e-04
  에폭 156/300 | 손실: 0.3260 | 학습: 88.1% | 검증: 81.2% | lr: 1.25e-04
  에폭 157/300 | 손실: 0.3193 | 학습: 89.5% | 검증: 79.9% | lr: 1.25e-04
  에폭 158/300 | 손실: 0.3280 | 학습: 89.1% | 검증: 80.9% | lr: 1.25e-04
  에폭 159/300 | 손실: 0.3274 | 학습: 89.9% | 검증: 80.2% | lr: 1.25e-04
  에폭 160/300 | 손실: 0.3329 | 학습: 89.5% | 검증: 79.6% | lr: 1.25e-04
  에폭 161/300 | 손실: 0.3436 | 학습: 89.3% | 검증: 80.9% | lr: 1.25e-04
  에폭 162/300 | 손실: 0.3460 | 학습: 89.1% | 검증: 81.4% | lr: 1.25e-04
  에폭 163/300 | 손실: 0.3221 | 학습: 88.7% | 검증: 80.7% | lr: 1.25e-04
  에폭 164/300 | 손실: 0.3236 | 학습: 90.3% | 검증: 80.9% | lr: 6.25e-05
  에폭 165/300 | 손실: 0.3255 | 학습: 89.2% | 검증: 80.7% | lr: 6.25e-05
  에폭 166/300 | 손실: 0.3172 | 학습: 90.4% | 검증: 81.2% | lr: 6.25e-05
  에폭 167/300 | 손실: 0.3202 | 학습: 88.8% | 검증: 78.4% | lr: 6.25e-05
  에폭 168/300 | 손실: 0.3253 | 학습: 90.4% | 검증: 80.7% | lr: 6.25e-05
  에폭 169/300 | 손실: 0.3423 | 학습: 90.2% | 검증: 80.7% | lr: 6.25e-05
  에폭 170/300 | 손실: 0.3191 | 학습: 88.6% | 검증: 80.4% | lr: 6.25e-05
  에폭 171/300 | 손실: 0.3327 | 학습: 90.1% | 검증: 80.4% | lr: 6.25e-05
  에폭 172/300 | 손실: 0.3302 | 학습: 89.2% | 검증: 79.9% | lr: 6.25e-05
  에폭 173/300 | 손실: 0.3232 | 학습: 90.2% | 검증: 79.9% | lr: 6.25e-05
  에폭 174/300 | 손실: 0.3148 | 학습: 90.7% | 검증: 80.9% | lr: 6.25e-05
  에폭 175/300 | 손실: 0.3199 | 학습: 89.6% | 검증: 81.2% | lr: 3.13e-05
  에폭 176/300 | 손실: 0.3392 | 학습: 89.3% | 검증: 79.6% | lr: 3.13e-05
  에폭 177/300 | 손실: 0.3316 | 학습: 89.5% | 검증: 80.2% | lr: 3.13e-05
  에폭 178/300 | 손실: 0.3147 | 학습: 89.1% | 검증: 78.9% | lr: 3.13e-05
  에폭 179/300 | 손실: 0.3301 | 학습: 90.4% | 검증: 80.2% | lr: 3.13e-05
  에폭 180/300 | 손실: 0.3183 | 학습: 87.9% | 검증: 80.4% | lr: 3.13e-05
  에폭 181/300 | 손실: 0.3169 | 학습: 89.5% | 검증: 80.7% | lr: 3.13e-05
  에폭 182/300 | 손실: 0.3171 | 학습: 90.6% | 검증: 81.2% | lr: 3.13e-05
  에폭 183/300 | 손실: 0.3171 | 학습: 89.6% | 검증: 79.9% | lr: 3.13e-05
  에폭 184/300 | 손실: 0.3090 | 학습: 89.9% | 검증: 80.7% | lr: 3.13e-05
  에폭 185/300 | 손실: 0.3451 | 학습: 90.7% | 검증: 80.7% | lr: 3.13e-05
  에폭 186/300 | 손실: 0.3061 | 학습: 89.3% | 검증: 80.9% | lr: 3.13e-05
  에폭 187/300 | 손실: 0.3273 | 학습: 89.5% | 검증: 80.9% | lr: 3.13e-05
  에폭 188/300 | 손실: 0.3260 | 학습: 89.9% | 검증: 80.4% | lr: 3.13e-05
  에폭 189/300 | 손실: 0.3175 | 학습: 90.0% | 검증: 79.9% | lr: 3.13e-05
  에폭 190/300 | 손실: 0.3356 | 학습: 88.9% | 검증: 81.7% | lr: 3.13e-05
  에폭 191/300 | 손실: 0.3125 | 학습: 90.1% | 검증: 80.7% | lr: 3.13e-05
