[MLP]   svm_data_20260507_133636.csv                       24741샘플
[MLP] CSV 로드  →  총 24741샘플
[MLP] 로드 완료 | 전체: 24741개  (배경: 12371, 사람: 12370)
[MLP] 특징 모드: ESP32 (14개)
[MLP] 학습: 19792개 (80%)  검증: 4949개 (20%)  [비율고정: 유지 | 분리시드: 42]
[MLP] 스케일러: StandardScaler (z-score)
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
[MLP]  디바이스: cpu
[MLP]  구조: 14 → 128 → 64 → 32 → 2
[MLP]  에폭: 1500  배치: 128  LR: 2.00e-03  Dropout: 0.3
[MLP]  Early Stop: 비활성화
[MLP]  LR 스케줄러: patience=50  factor=0.5  min_lr=1e-6
[MLP]  검증 비율: 20%  분리 비율고정: 유지  분리 시드: 42
[MLP]  스케일러: StandardScaler  특징 모드: ESP32
[MLP]  사용 특징 (14개): SPECTRAL_BANDWIDTH, PEAK_COUNT, MID_RATIO, SECOND_PEAK_FREQ, KURTOSIS, CENTROID, PEAK_FREQ, LOW_RATIO, RMS, PEAK_TO_AVG_E, HIGH_RATIO, PEAK1_TO_PEAK2_RATIO, SKEWNESS, SPECTRAL_FLATNESS
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  에폭   1/1500 | 손실: 0.5967 | 학습: 67.6% | 검증: 65.7% | lr: 2.00e-03 | 0.3s ★
  에폭   2/1500 | 손실: 0.5816 | 학습: 68.2% | 검증: 66.0% | lr: 2.00e-03 | 0.3s ★
  에폭   3/1500 | 손실: 0.5750 | 학습: 69.3% | 검증: 67.2% | lr: 2.00e-03 | 0.3s ★
  에폭   4/1500 | 손실: 0.5718 | 학습: 69.6% | 검증: 67.0% | lr: 2.00e-03 | 0.3s
  에폭   5/1500 | 손실: 0.5673 | 학습: 70.1% | 검증: 67.8% | lr: 2.00e-03 | 0.4s ★
  에폭   6/1500 | 손실: 0.5606 | 학습: 70.1% | 검증: 68.0% | lr: 2.00e-03 | 0.5s ★
  에폭   7/1500 | 손실: 0.5603 | 학습: 70.8% | 검증: 68.1% | lr: 2.00e-03 | 0.4s ★
  에폭   8/1500 | 손실: 0.5558 | 학습: 71.6% | 검증: 68.5% | lr: 2.00e-03 | 0.3s ★
  에폭   9/1500 | 손실: 0.5533 | 학습: 72.0% | 검증: 69.4% | lr: 2.00e-03 | 0.3s ★
  에폭  10/1500 | 손실: 0.5489 | 학습: 71.9% | 검증: 69.7% | lr: 2.00e-03 | 0.3s ★
  에폭  11/1500 | 손실: 0.5449 | 학습: 72.5% | 검증: 70.3% | lr: 2.00e-03 | 0.3s ★
  에폭  12/1500 | 손실: 0.5437 | 학습: 73.3% | 검증: 70.8% | lr: 2.00e-03 | 0.3s ★
  에폭  13/1500 | 손실: 0.5403 | 학습: 73.5% | 검증: 71.2% | lr: 2.00e-03 | 0.3s ★
  에폭  14/1500 | 손실: 0.5355 | 학습: 73.2% | 검증: 71.4% | lr: 2.00e-03 | 0.4s ★
  에폭  15/1500 | 손실: 0.5329 | 학습: 73.8% | 검증: 70.9% | lr: 2.00e-03 | 0.4s
  에폭  16/1500 | 손실: 0.5327 | 학습: 74.4% | 검증: 72.4% | lr: 2.00e-03 | 0.3s ★
  에폭  17/1500 | 손실: 0.5279 | 학습: 74.8% | 검증: 72.5% | lr: 2.00e-03 | 0.3s ★
  에폭  18/1500 | 손실: 0.5258 | 학습: 75.0% | 검증: 72.4% | lr: 2.00e-03 | 0.4s
  에폭  19/1500 | 손실: 0.5229 | 학습: 75.0% | 검증: 72.7% | lr: 2.00e-03 | 0.3s ★
  에폭  20/1500 | 손실: 0.5224 | 학습: 75.4% | 검증: 72.8% | lr: 2.00e-03 | 0.4s ★
  에폭  21/1500 | 손실: 0.5153 | 학습: 75.7% | 검증: 73.4% | lr: 2.00e-03 | 0.4s ★
  에폭  22/1500 | 손실: 0.5128 | 학습: 75.8% | 검증: 73.5% | lr: 2.00e-03 | 0.4s ★
  에폭  23/1500 | 손실: 0.5125 | 학습: 76.4% | 검증: 73.8% | lr: 2.00e-03 | 0.4s ★
  에폭  24/1500 | 손실: 0.5109 | 학습: 76.6% | 검증: 74.6% | lr: 2.00e-03 | 0.4s ★
  에폭  25/1500 | 손실: 0.5078 | 학습: 77.1% | 검증: 74.7% | lr: 2.00e-03 | 0.4s ★
  에폭  26/1500 | 손실: 0.5045 | 학습: 77.3% | 검증: 74.6% | lr: 2.00e-03 | 0.3s
  에폭  27/1500 | 손실: 0.5017 | 학습: 76.9% | 검증: 74.0% | lr: 2.00e-03 | 0.4s
  에폭  28/1500 | 손실: 0.4992 | 학습: 77.7% | 검증: 75.1% | lr: 2.00e-03 | 0.4s ★
  에폭  29/1500 | 손실: 0.5006 | 학습: 77.8% | 검증: 75.8% | lr: 2.00e-03 | 0.3s ★
  에폭  30/1500 | 손실: 0.4971 | 학습: 77.7% | 검증: 75.4% | lr: 2.00e-03 | 0.3s
  에폭  31/1500 | 손실: 0.4904 | 학습: 77.9% | 검증: 75.9% | lr: 2.00e-03 | 0.3s ★
  에폭  32/1500 | 손실: 0.4908 | 학습: 78.2% | 검증: 75.9% | lr: 2.00e-03 | 0.3s
  에폭  33/1500 | 손실: 0.4894 | 학습: 78.6% | 검증: 76.4% | lr: 2.00e-03 | 0.4s ★
  에폭  34/1500 | 손실: 0.4890 | 학습: 78.2% | 검증: 75.7% | lr: 2.00e-03 | 0.3s
  에폭  35/1500 | 손실: 0.4875 | 학습: 78.9% | 검증: 76.8% | lr: 2.00e-03 | 0.3s ★
  에폭  36/1500 | 손실: 0.4889 | 학습: 79.3% | 검증: 76.9% | lr: 2.00e-03 | 0.3s ★
  에폭  37/1500 | 손실: 0.4832 | 학습: 79.0% | 검증: 76.8% | lr: 2.00e-03 | 0.3s
  에폭  38/1500 | 손실: 0.4848 | 학습: 79.1% | 검증: 77.2% | lr: 2.00e-03 | 0.3s ★
  에폭  39/1500 | 손실: 0.4773 | 학습: 79.0% | 검증: 76.2% | lr: 2.00e-03 | 0.3s
  에폭  40/1500 | 손실: 0.4792 | 학습: 79.6% | 검증: 77.1% | lr: 2.00e-03 | 0.3s
  에폭  41/1500 | 손실: 0.4763 | 학습: 79.2% | 검증: 76.5% | lr: 2.00e-03 | 0.3s
