  에폭  42/300 | 손실: 0.3744 | 학습: 85.2% | 검증: 84.8% | lr: 5.00e-05
  에폭  43/300 | 손실: 0.3783 | 학습: 85.3% | 검증: 84.3% | lr: 5.00e-05
  에폭  44/300 | 손실: 0.3691 | 학습: 85.1% | 검증: 85.1% | lr: 5.00e-05 ★
  에폭  45/300 | 손실: 0.3767 | 학습: 85.2% | 검증: 84.6% | lr: 5.00e-05
  에폭  46/300 | 손실: 0.3735 | 학습: 84.9% | 검증: 84.6% | lr: 5.00e-05
  에폭  47/300 | 손실: 0.3712 | 학습: 85.6% | 검증: 84.9% | lr: 5.00e-05
  에폭  48/300 | 손실: 0.3699 | 학습: 84.9% | 검증: 84.5% | lr: 5.00e-05
  에폭  49/300 | 손실: 0.3773 | 학습: 84.6% | 검증: 85.0% | lr: 5.00e-05
  에폭  50/300 | 손실: 0.3730 | 학습: 84.9% | 검증: 84.9% | lr: 5.00e-05
  에폭  51/300 | 손실: 0.3665 | 학습: 85.1% | 검증: 85.2% | lr: 5.00e-05 ★
  에폭  52/300 | 손실: 0.3669 | 학습: 85.5% | 검증: 85.0% | lr: 5.00e-05
  에폭  53/300 | 손실: 0.3684 | 학습: 85.2% | 검증: 85.0% | lr: 5.00e-05
  에폭  54/300 | 손실: 0.3695 | 학습: 85.6% | 검증: 84.9% | lr: 5.00e-05
  에폭  55/300 | 손실: 0.3742 | 학습: 85.1% | 검증: 84.8% | lr: 5.00e-05
  에폭  56/300 | 손실: 0.3740 | 학습: 85.4% | 검증: 84.7% | lr: 5.00e-05
  에폭  57/300 | 손실: 0.3665 | 학습: 84.6% | 검증: 84.7% | lr: 5.00e-05
  에폭  58/300 | 손실: 0.3678 | 학습: 85.6% | 검증: 84.6% | lr: 5.00e-05
  에폭  59/300 | 손실: 0.3762 | 학습: 85.9% | 검증: 84.9% | lr: 5.00e-05
  에폭  60/300 | 손실: 0.3676 | 학습: 85.7% | 검증: 84.8% | lr: 5.00e-05
  에폭  61/300 | 손실: 0.3677 | 학습: 85.7% | 검증: 85.2% | lr: 5.00e-05
  에폭  62/300 | 손실: 0.3690 | 학습: 85.9% | 검증: 85.1% | lr: 2.50e-05
  에폭  63/300 | 손실: 0.3625 | 학습: 85.7% | 검증: 85.1% | lr: 2.50e-05
  에폭  64/300 | 손실: 0.3642 | 학습: 85.1% | 검증: 85.0% | lr: 2.50e-05
  에폭  65/300 | 손실: 0.3664 | 학습: 85.5% | 검증: 84.8% | lr: 2.50e-05
  에폭  66/300 | 손실: 0.3687 | 학습: 85.9% | 검증: 85.1% | lr: 2.50e-05
  에폭  67/300 | 손실: 0.3712 | 학습: 85.9% | 검증: 84.8% | lr: 2.50e-05
  에폭  68/300 | 손실: 0.3607 | 학습: 85.7% | 검증: 85.2% | lr: 2.50e-05
  에폭  69/300 | 손실: 0.3676 | 학습: 85.6% | 검증: 84.9% | lr: 2.50e-05
  에폭  70/300 | 손실: 0.3649 | 학습: 85.8% | 검증: 85.5% | lr: 2.50e-05 ★
  에폭  71/300 | 손실: 0.3640 | 학습: 85.8% | 검증: 85.3% | lr: 2.50e-05
  에폭  72/300 | 손실: 0.3617 | 학습: 85.8% | 검증: 85.3% | lr: 2.50e-05
  에폭  73/300 | 손실: 0.3646 | 학습: 85.8% | 검증: 84.8% | lr: 2.50e-05
  에폭  74/300 | 손실: 0.3635 | 학습: 85.8% | 검증: 85.2% | lr: 2.50e-05
  에폭  75/300 | 손실: 0.3639 | 학습: 86.1% | 검증: 85.3% | lr: 2.50e-05
  에폭  76/300 | 손실: 0.3697 | 학습: 85.3% | 검증: 85.2% | lr: 2.50e-05
  에폭  77/300 | 손실: 0.3652 | 학습: 86.1% | 검증: 85.3% | lr: 2.50e-05
  에폭  78/300 | 손실: 0.3651 | 학습: 85.7% | 검증: 85.9% | lr: 2.50e-05 ★
  에폭  79/300 | 손실: 0.3663 | 학습: 85.6% | 검증: 85.0% | lr: 1.25e-05
  에폭  80/300 | 손실: 0.3641 | 학습: 85.9% | 검증: 85.4% | lr: 1.25e-05
  에폭  81/300 | 손실: 0.3625 | 학습: 85.7% | 검증: 85.0% | lr: 1.25e-05
  에폭  82/300 | 손실: 0.3663 | 학습: 85.9% | 검증: 85.6% | lr: 1.25e-05
