[MLP]   svm_data_20260507_133636.csv                       24741샘플
[MLP] CSV 로드  →  총 24741샘플
[MLP] 로드 완료 | 전체: 24741개  (배경: 12371, 사람: 12370)
[MLP] 특징 모드: ESP32 (21개)
[MLP] 학습: 19792개 (80%)  검증: 4949개 (20%)  [비율고정: 유지 | 분리시드: 42]
[MLP] 스케일러: StandardScaler (z-score)
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
[MLP]  디바이스: cpu
[MLP]  구조: 21 → 128 → 64 → 32 → 2
[MLP]  에폭: 1500  배치: 128  LR: 2.00e-03  Dropout: 0.2
[MLP]  Early Stop: 비활성화
[MLP]  LR 스케줄러: patience=50  factor=0.5  min_lr=1e-6
[MLP]  검증 비율: 20%  분리 비율고정: 유지  분리 시드: 42
[MLP]  스케일러: StandardScaler  특징 모드: ESP32
[MLP]  사용 특징 (21개): SPECTRAL_ROLLOFF, SPECTRAL_BANDWIDTH, PEAK_COUNT, MID_RATIO, LOW_TO_HIGH_RATIO, SECOND_PEAK_FREQ, KURTOSIS, CENTROID, PEAK_FREQ, LOW_RATIO, RMS, AVG_ENERGY, PEAK_ENERGY, ENERGY_VARIANCE, PEAK_TO_AVG_E, HIGH_RATIO, PEAK1_TO_PEAK2_RATIO, SKEWNESS, DC_RATIO, DELTA_PEAK_FREQ, SPECTRAL_FLATNESS
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  에폭  33/1500 | 손실: 0.4481 | 검증손실: 0.4608 | 학습: 81.2% | 검증: 77.5% | lr: 2.00e-03 | 0.3s
  에폭  34/1500 | 손실: 0.4524 | 검증손실: 0.4568 | 학습: 81.7% | 검증: 77.6% | lr: 2.00e-03 | 0.3s ★
  에폭  35/1500 | 손실: 0.4458 | 검증손실: 0.4506 | 학습: 81.9% | 검증: 77.9% | lr: 2.00e-03 | 0.3s ★
  에폭  36/1500 | 손실: 0.4473 | 검증손실: 0.4530 | 학습: 81.8% | 검증: 77.9% | lr: 2.00e-03 | 0.3s ★
  에폭  37/1500 | 손실: 0.4402 | 검증손실: 0.4460 | 학습: 82.3% | 검증: 78.6% | lr: 2.00e-03 | 0.3s ★
  에폭  38/1500 | 손실: 0.4393 | 검증손실: 0.4456 | 학습: 82.2% | 검증: 78.1% | lr: 2.00e-03 | 0.3s
  에폭  39/1500 | 손실: 0.4404 | 검증손실: 0.4534 | 학습: 82.3% | 검증: 78.0% | lr: 2.00e-03 | 0.3s
  에폭  40/1500 | 손실: 0.4378 | 검증손실: 0.4470 | 학습: 82.8% | 검증: 78.7% | lr: 2.00e-03 | 0.3s ★
  에폭  41/1500 | 손실: 0.4369 | 검증손실: 0.4439 | 학습: 83.1% | 검증: 78.7% | lr: 2.00e-03 | 0.3s ★
  에폭  42/1500 | 손실: 0.4319 | 검증손실: 0.4391 | 학습: 82.9% | 검증: 78.7% | lr: 2.00e-03 | 0.3s
  에폭  43/1500 | 손실: 0.4302 | 검증손실: 0.4411 | 학습: 83.5% | 검증: 78.5% | lr: 2.00e-03 | 0.3s
  에폭  44/1500 | 손실: 0.4267 | 검증손실: 0.4453 | 학습: 82.7% | 검증: 78.6% | lr: 2.00e-03 | 0.3s
  에폭  45/1500 | 손실: 0.4259 | 검증손실: 0.4387 | 학습: 83.3% | 검증: 78.9% | lr: 2.00e-03 | 0.3s ★
  에폭  46/1500 | 손실: 0.4236 | 검증손실: 0.4397 | 학습: 83.2% | 검증: 78.8% | lr: 2.00e-03 | 0.3s
  에폭  47/1500 | 손실: 0.4248 | 검증손실: 0.4408 | 학습: 82.8% | 검증: 78.9% | lr: 2.00e-03 | 0.3s ★
  에폭  48/1500 | 손실: 0.4249 | 검증손실: 0.4288 | 학습: 83.8% | 검증: 79.3% | lr: 2.00e-03 | 0.3s ★
  에폭  49/1500 | 손실: 0.4208 | 검증손실: 0.4288 | 학습: 84.0% | 검증: 79.9% | lr: 2.00e-03 | 0.3s ★
  에폭  50/1500 | 손실: 0.4166 | 검증손실: 0.4258 | 학습: 84.2% | 검증: 79.5% | lr: 2.00e-03 | 0.3s
  에폭  51/1500 | 손실: 0.4188 | 검증손실: 0.4271 | 학습: 84.1% | 검증: 80.0% | lr: 2.00e-03 | 0.3s ★
  에폭  52/1500 | 손실: 0.4102 | 검증손실: 0.4260 | 학습: 84.1% | 검증: 79.3% | lr: 2.00e-03 | 0.3s
  에폭  53/1500 | 손실: 0.4113 | 검증손실: 0.4176 | 학습: 84.6% | 검증: 80.4% | lr: 2.00e-03 | 0.3s ★
  에폭  54/1500 | 손실: 0.4055 | 검증손실: 0.4267 | 학습: 84.7% | 검증: 79.3% | lr: 2.00e-03 | 0.3s
  에폭  55/1500 | 손실: 0.4105 | 검증손실: 0.4246 | 학습: 84.6% | 검증: 79.7% | lr: 2.00e-03 | 0.3s
